,A_MEANS_FIVE_AC,A_MEANS_FIVE_AF,A_MEANS_FIVE_AR,A_MEANS_FIVE_AS,A_MEANS_FIVE_AST,A_MEANS_FIVE_AY,A_MEANS_FIVE_FTAG,A_MEANS_FIVE_FTHG,A_MEANS_FIVE_FTR_A,A_MEANS_FIVE_FTR_D,A_MEANS_FIVE_FTR_H,A_MEANS_FIVE_HC,A_MEANS_FIVE_HF,A_MEANS_FIVE_HR,A_MEANS_FIVE_HS,A_MEANS_FIVE_HST,A_MEANS_FIVE_HTAG,A_MEANS_FIVE_HTHG,A_MEANS_FIVE_HTR_A,A_MEANS_FIVE_HTR_D,A_MEANS_FIVE_HTR_H,A_MEANS_FIVE_HY,A_MEANS_THREE_AC,A_MEANS_THREE_AF,A_MEANS_THREE_AR,A_MEANS_THREE_AS,A_MEANS_THREE_AST,A_MEANS_THREE_AY,A_MEANS_THREE_FTAG,A_MEANS_THREE_FTHG,A_MEANS_THREE_FTR_A,A_MEANS_THREE_FTR_D,A_MEANS_THREE_FTR_H,A_MEANS_THREE_HC,A_MEANS_THREE_HF,A_MEANS_THREE_HR,A_MEANS_THREE_HS,A_MEANS_THREE_HST,A_MEANS_THREE_HTAG,A_MEANS_THREE_HTHG,A_MEANS_THREE_HTR_A,A_MEANS_THREE_HTR_D,A_MEANS_THREE_HTR_H,A_MEANS_THREE_HY,A_STD_FIVE_AC,A_STD_FIVE_AF,A_STD_FIVE_AR,A_STD_FIVE_AS,A_STD_FIVE_AST,A_STD_FIVE_AY,A_STD_FIVE_FTAG,A_STD_FIVE_FTHG,A_STD_FIVE_FTR_A,A_STD_FIVE_FTR_D,A_STD_FIVE_FTR_H,A_STD_FIVE_HC,A_STD_FIVE_HF,A_STD_FIVE_HR,A_STD_FIVE_HS,A_STD_FIVE_HST,A_STD_FIVE_HTAG,A_STD_FIVE_HTHG,A_STD_FIVE_HTR_A,A_STD_FIVE_HTR_D,A_STD_FIVE_HTR_H,A_STD_FIVE_HY,A_STD_THREE_AC,A_STD_THREE_AF,A_STD_THREE_AR,A_STD_THREE_AS,A_STD_THREE_AST,A_STD_THREE_AY,A_STD_THREE_FTAG,A_STD_THREE_FTHG,A_STD_THREE_FTR_A,A_STD_THREE_FTR_D,A_STD_THREE_FTR_H,A_STD_THREE_HC,A_STD_THREE_HF,A_STD_THREE_HR,A_STD_THREE_HS,A_STD_THREE_HST,A_STD_THREE_HTAG,A_STD_THREE_HTHG,A_STD_THREE_HTR_A,A_STD_THREE_HTR_D,A_STD_THREE_HTR_H,A_STD_THREE_HY,H_MEANS_FIVE_AC,H_MEANS_FIVE_AF,H_MEANS_FIVE_AR,H_MEANS_FIVE_AS,H_MEANS_FIVE_AST,H_MEANS_FIVE_AY,H_MEANS_FIVE_FTAG,H_MEANS_FIVE_FTHG,H_MEANS_FIVE_FTR_A,H_MEANS_FIVE_FTR_D,H_MEANS_FIVE_FTR_H,H_MEANS_FIVE_HC,H_MEANS_FIVE_HF,H_MEANS_FIVE_HR,H_MEANS_FIVE_HS,H_MEANS_FIVE_HST,H_MEANS_FIVE_HTAG,H_MEANS_FIVE_HTHG,H_MEANS_FIVE_HTR_A,H_MEANS_FIVE_HTR_D,H_MEANS_FIVE_HTR_H,H_MEANS_FIVE_HY,H_MEANS_THREE_AC,H_MEANS_THREE_AF,H_MEANS_THREE_AR,H_MEANS_THREE_AS,H_MEANS_THREE_AST,H_MEANS_THREE_AY,H_MEANS_THREE_FTAG,H_MEANS_THREE_FTHG,H_MEANS_THREE_FTR_A,H_MEANS_THREE_FTR_D,H_MEANS_THREE_FTR_H,H_MEANS_THREE_HC,H_MEANS_THREE_HF,H_MEANS_THREE_HR,H_MEANS_THREE_HS,H_MEANS_THREE_HST,H_MEANS_THREE_HTAG,H_MEANS_THREE_HTHG,H_MEANS_THREE_HTR_A,H_MEANS_THREE_HTR_D,H_MEANS_THREE_HTR_H,H_MEANS_THREE_HY,H_STD_FIVE_AC,H_STD_FIVE_AF,H_STD_FIVE_AR,H_STD_FIVE_AS,H_STD_FIVE_AST,H_STD_FIVE_AY,H_STD_FIVE_FTAG,H_STD_FIVE_FTHG,H_STD_FIVE_FTR_A,H_STD_FIVE_FTR_D,H_STD_FIVE_FTR_H,H_STD_FIVE_HC,H_STD_FIVE_HF,H_STD_FIVE_HR,H_STD_FIVE_HS,H_STD_FIVE_HST,H_STD_FIVE_HTAG,H_STD_FIVE_HTHG,H_STD_FIVE_HTR_A,H_STD_FIVE_HTR_D,H_STD_FIVE_HTR_H,H_STD_FIVE_HY,H_STD_THREE_AC,H_STD_THREE_AF,H_STD_THREE_AR,H_STD_THREE_AS,H_STD_THREE_AST,H_STD_THREE_AY,H_STD_THREE_FTAG,H_STD_THREE_FTHG,H_STD_THREE_FTR_A,H_STD_THREE_FTR_D,H_STD_THREE_FTR_H,H_STD_THREE_HC,H_STD_THREE_HF,H_STD_THREE_HR,H_STD_THREE_HS,H_STD_THREE_HST,H_STD_THREE_HTAG,H_STD_THREE_HTHG,H_STD_THREE_HTR_A,H_STD_THREE_HTR_D,H_STD_THREE_HTR_H,H_STD_THREE_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,pred,prob,prob_less_bet
24185,3.8,11.8,0.2,7.2,2.8,1.4,1.6,2.2,0.4,0.4,0.2,7.6,11.2,0.0,14.0,5.8,0.4,1.0,0.2,0.6,0.2,2.0,5.0,11.33,0.33,8.67,3.33,1.67,1.67,3.0,0.33,0.33,0.33,5.67,11.33,0.0,15.67,6.67,0.33,1.67,0.0,0.67,0.33,1.67,2.864,5.891,0.447,3.834,1.924,0.548,0.548,2.683,0.548,0.548,0.447,2.881,3.194,0.0,5.244,3.493,0.548,1.732,0.447,0.548,0.447,1.225,2.646,3.512,0.577,4.509,2.309,0.577,0.577,3.464,0.577,0.577,0.577,1.528,4.041,0.0,5.686,4.619,0.577,2.082,0.0,0.577,0.577,0.577,4.0,12.2,0.0,5.6,2.0,2.0,0.0,1.8,0.0,0.0,1.0,8.2,8.6,0.0,17.0,6.4,0.0,0.8,0.0,0.4,0.6,0.8,3.0,13.67,0.0,4.67,1.33,2.0,0.0,2.0,0.0,0.0,1.0,7.0,8.0,0.0,16.0,5.33,0.0,0.33,0.0,0.67,0.33,0.67,3.536,2.588,0.0,2.51,1.225,0.707,0.0,1.304,0.0,0.0,0.0,2.775,1.517,0.0,6.519,3.209,0.0,0.837,0.0,0.548,0.548,0.837,4.359,2.082,0.0,0.577,0.577,1.0,0.0,1.732,0.0,0.0,0.0,3.0,1.732,0.0,9.0,4.041,0.0,0.577,0.0,0.577,0.577,0.577,Motherwell,25.59,10.23,1.08,2017-02-18,SC0,0.0,2.0,H,H,Celtic,,,,0.08,True,0.709839524911,-0.216086401015
24186,4.8,14.4,0.2,9.6,3.6,2.2,0.6,2.2,0.0,0.2,0.8,4.4,13.2,0.0,11.6,4.8,0.2,1.0,0.0,0.2,0.8,2.0,6.0,15.0,0.0,10.67,4.33,2.33,0.67,2.33,0.0,0.0,1.0,5.0,11.33,0.0,11.67,5.33,0.33,1.33,0.0,0.0,1.0,1.67,2.95,1.342,0.447,2.793,1.342,0.447,0.894,1.095,0.0,0.447,0.447,2.702,4.147,0.0,2.302,2.049,0.447,0.707,0.0,0.447,0.447,1.0,3.464,0.0,0.0,1.528,1.155,0.577,1.155,1.155,0.0,0.0,0.0,1.0,4.163,0.0,2.082,2.517,0.577,0.577,0.0,0.0,0.0,1.155,5.4,14.2,0.0,8.6,3.0,1.6,0.6,2.2,0.2,0.2,0.6,5.6,11.0,0.0,12.2,6.6,0.2,1.0,0.0,0.4,0.6,1.2,6.0,14.0,0.0,8.0,3.33,1.67,0.67,2.67,0.33,0.0,0.67,5.0,9.0,0.0,13.67,6.67,0.33,1.0,0.0,0.67,0.33,1.33,2.302,2.775,0.0,3.782,2.121,0.548,0.548,1.789,0.447,0.447,0.548,1.949,3.391,0.0,4.817,2.51,0.447,0.707,0.0,0.548,0.548,1.095,2.646,3.0,0.0,4.583,2.517,0.577,0.577,2.309,0.577,0.0,0.577,2.0,2.646,0.0,5.859,2.517,0.577,1.0,0.0,0.577,0.577,1.155,Inverness C,5.9,4.13,1.53,2017-02-18,SC0,1.0,1.0,D,A,Hearts,6.37,4.37,1.56,-1.0,True,0.546553859322,-0.10704091192
24192,2.4,14.2,0.6,9.4,3.8,2.0,1.8,2.0,0.2,0.4,0.4,5.6,12.6,0.0,15.2,4.8,0.8,0.8,0.4,0.4,0.2,2.0,2.67,11.33,0.33,7.67,3.67,1.67,1.67,1.67,0.33,0.33,0.33,6.33,11.67,0.0,17.33,4.0,0.67,0.0,0.67,0.33,0.0,1.67,1.673,4.324,0.548,3.647,1.095,1.225,1.095,0.707,0.447,0.548,0.548,4.93,2.702,0.0,5.805,2.683,0.447,1.304,0.548,0.548,0.447,1.871,2.082,0.577,0.577,3.786,1.528,1.528,1.155,0.577,0.577,0.577,0.577,6.658,3.215,0.0,5.859,1.732,0.577,0.0,0.577,0.577,0.0,2.082,4.2,13.8,0.2,10.2,3.6,1.6,0.6,2.2,0.2,0.0,0.8,5.8,15.0,0.0,13.8,5.4,0.2,1.0,0.2,0.0,0.8,1.2,4.0,13.0,0.0,9.0,3.33,2.0,1.0,2.67,0.33,0.0,0.67,6.0,15.67,0.0,16.67,6.67,0.33,1.0,0.33,0.0,0.67,1.0,2.775,4.55,0.447,2.28,1.14,1.14,0.894,1.304,0.447,0.0,0.447,1.789,2.236,0.0,5.541,1.949,0.447,0.707,0.447,0.0,0.447,1.095,3.606,6.245,0.0,2.0,1.155,1.0,1.0,1.528,0.577,0.0,0.577,2.0,2.082,0.0,3.215,1.155,0.577,1.0,0.577,0.0,0.577,0.0,Dijon,8.36,5.03,1.36,2017-02-19,F1,2.0,4.0,H,D,Lyon,9.7,5.41,1.36,0.36,True,0.565517181679,-0.169776935968
24193,4.0,14.0,0.2,10.2,2.8,2.8,1.0,1.2,0.2,0.2,0.6,4.8,13.6,0.2,16.8,6.0,0.4,0.4,0.4,0.2,0.4,2.0,4.33,17.0,0.0,12.67,3.67,3.33,1.33,0.67,0.33,0.33,0.33,3.67,12.67,0.33,16.33,5.33,0.67,0.33,0.67,0.0,0.33,1.0,1.225,5.431,0.447,5.933,2.168,0.837,1.225,0.837,0.447,0.447,0.548,2.168,4.393,0.447,4.324,2.449,0.548,0.548,0.548,0.447,0.548,1.581,1.528,3.606,0.0,6.429,2.082,0.577,1.528,0.577,0.577,0.577,0.577,2.082,5.132,0.577,4.933,2.517,0.577,0.577,0.577,0.0,0.577,1.0,3.0,13.8,0.6,10.8,3.0,1.2,0.8,2.2,0.2,0.2,0.6,6.0,10.4,0.0,15.2,4.2,0.8,0.8,0.4,0.2,0.4,1.2,4.0,14.0,0.67,10.67,3.0,0.67,1.33,1.33,0.33,0.33,0.33,7.33,11.0,0.0,16.0,3.33,1.33,0.33,0.67,0.33,0.0,1.33,1.581,2.168,0.548,3.271,1.225,0.837,0.837,1.304,0.447,0.447,0.548,4.743,2.881,0.0,7.596,2.387,0.837,0.837,0.548,0.447,0.548,1.304,1.0,2.646,0.577,4.509,1.732,0.577,0.577,0.577,0.577,0.577,0.577,6.11,3.606,0.0,7.0,1.528,0.577,0.577,0.577,0.577,0.0,1.528,St Etienne,3.3,3.18,2.29,2017-02-19,F1,1.0,2.0,H,A,Montpellier,3.52,3.28,2.29,1.29,True,0.55898376883,0.122302546123
24194,3.8,15.6,0.4,10.0,3.2,2.2,0.2,1.6,0.0,0.2,0.8,4.8,11.4,0.0,13.0,6.0,0.2,0.8,0.2,0.2,0.6,1.6,4.33,14.67,0.33,8.67,4.33,2.33,0.33,1.33,0.0,0.33,0.67,6.0,12.33,0.0,14.33,7.0,0.33,0.33,0.33,0.33,0.33,2.0,1.095,4.099,0.548,2.828,2.168,1.095,0.447,0.894,0.0,0.447,0.447,2.775,4.98,0.0,5.05,2.55,0.447,0.837,0.447,0.447,0.548,0.894,0.577,5.132,0.577,3.055,1.528,1.528,0.577,0.577,0.0,0.577,0.577,3.0,5.508,0.0,6.658,2.646,0.577,0.577,0.577,0.577,0.577,0.0,4.2,10.0,0.0,8.2,3.4,1.8,0.8,2.4,0.0,0.4,0.6,9.0,11.8,0.0,17.4,6.4,0.4,0.6,0.2,0.4,0.4,1.0,5.67,10.67,0.0,7.33,3.67,1.67,0.67,2.67,0.0,0.33,0.67,8.67,10.0,0.0,16.67,6.0,0.0,0.67,0.0,0.67,0.33,0.33,5.167,1.225,0.0,5.31,2.191,1.095,0.837,1.517,0.0,0.548,0.548,3.24,3.564,0.0,4.393,2.51,0.894,0.894,0.447,0.548,0.548,1.0,6.429,0.577,0.0,5.774,3.055,1.155,0.577,2.082,0.0,0.577,0.577,4.509,2.646,0.0,4.933,1.732,0.0,1.155,0.0,0.577,0.577,0.577,Toulouse,14.36,6.37,1.21,2017-02-19,F1,0.0,0.0,D,D,Paris SG,18.16,7.02,1.21,-1.0,True,0.655370186431,-0.171076094561
24199,5.0,17.2,0.0,13.2,3.0,3.2,0.8,2.0,0.0,0.4,0.6,2.8,12.2,0.0,12.0,4.2,0.2,1.0,0.0,0.6,0.4,2.2,6.67,17.33,0.0,14.0,2.33,3.0,0.33,1.0,0.0,0.67,0.33,1.67,15.0,0.0,8.67,3.0,0.33,0.67,0.0,0.67,0.33,3.33,3.24,4.764,0.0,6.38,1.581,0.837,1.304,1.871,0.0,0.548,0.548,1.643,4.764,0.0,5.477,3.493,0.447,1.225,0.0,0.548,0.548,2.28,3.215,6.028,0.0,8.66,1.528,1.0,0.577,1.0,0.0,0.577,0.577,0.577,3.464,0.0,1.528,1.732,0.577,0.577,0.0,0.577,0.577,2.309,3.8,17.4,0.2,9.8,3.0,2.6,0.6,2.4,0.0,0.0,1.0,7.2,12.0,0.0,18.8,6.8,0.2,0.8,0.0,0.6,0.4,1.4,2.67,14.33,0.33,9.0,1.33,2.67,0.33,2.67,0.0,0.0,1.0,6.67,9.0,0.0,22.0,7.67,0.33,0.67,0.0,0.67,0.33,1.0,2.168,4.336,0.447,3.493,2.646,0.548,0.894,1.342,0.0,0.0,0.0,1.643,4.848,0.0,5.07,1.924,0.447,0.837,0.0,0.548,0.548,1.14,1.528,1.155,0.577,3.606,1.155,0.577,0.577,1.528,0.0,0.0,0.0,2.082,1.0,0.0,3.606,1.528,0.577,0.577,0.0,0.577,0.577,1.0,Torino,7.1,4.62,1.44,2017-02-19,I1,1.0,4.0,H,H,Roma,7.97,4.97,1.44,0.44,True,0.55627198887,-0.138172455574
24200,3.0,16.0,0.6,6.8,1.0,2.6,0.2,1.4,0.0,0.2,0.8,6.6,15.0,0.0,17.2,3.8,0.2,0.6,0.2,0.4,0.4,2.6,3.67,15.0,0.67,6.33,0.33,2.0,0.0,1.33,0.0,0.0,1.0,7.33,10.67,0.0,20.0,5.0,0.0,0.67,0.0,0.67,0.33,1.67,1.0,2.55,0.548,1.924,1.0,1.517,0.447,0.548,0.0,0.447,0.447,3.05,7.55,0.0,8.136,1.789,0.447,0.894,0.447,0.548,0.548,2.408,0.577,3.0,0.577,2.082,0.577,1.0,0.0,0.577,0.0,0.0,0.0,3.215,6.429,0.0,8.185,1.0,0.0,1.155,0.0,0.577,0.577,2.082,5.2,12.4,0.0,12.2,4.8,3.0,1.0,1.4,0.2,0.4,0.4,6.4,11.8,0.0,15.2,4.4,0.8,0.2,0.4,0.6,0.0,2.0,6.33,12.33,0.0,13.33,4.67,3.33,1.0,2.0,0.0,0.33,0.67,8.0,13.0,0.0,17.33,4.67,0.67,0.33,0.33,0.67,0.0,2.33,2.387,2.702,0.0,2.683,3.564,1.225,1.0,1.517,0.447,0.548,0.548,3.209,4.324,0.0,3.347,1.949,0.837,0.447,0.548,0.548,0.0,0.707,2.082,2.887,0.0,3.055,4.619,0.577,1.0,1.732,0.0,0.577,0.577,2.646,5.568,0.0,1.155,2.517,0.577,0.577,0.577,0.577,0.0,0.577,Cagliari,5.02,3.84,1.69,2017-02-19,I1,1.0,1.0,D,D,Sampdoria,5.31,4.0,1.72,-1.0,True,0.573514123898,-0.0182018524331
24202,3.8,17.8,0.0,11.2,3.6,2.8,0.6,2.0,0.0,0.4,0.6,4.0,13.0,0.0,9.8,3.0,0.2,0.6,0.0,0.6,0.4,2.0,3.67,18.33,0.0,12.33,3.0,3.0,0.67,2.0,0.0,0.33,0.67,3.67,9.67,0.0,12.0,3.33,0.33,0.67,0.0,0.67,0.33,2.0,1.483,2.28,0.0,2.864,1.517,1.924,0.894,0.707,0.0,0.548,0.548,1.225,4.637,0.0,4.266,1.225,0.447,0.548,0.0,0.548,0.548,1.0,2.082,2.887,0.0,3.055,1.0,2.646,1.155,0.0,0.0,0.577,0.577,0.577,0.577,0.0,4.0,0.577,0.577,0.577,0.0,0.577,0.577,1.0,2.8,14.6,0.4,7.8,2.6,2.8,0.4,2.6,0.0,0.4,0.6,7.2,13.8,0.0,18.2,6.6,0.0,0.8,0.0,0.4,0.6,1.6,2.0,15.0,0.0,7.0,2.33,3.33,0.33,4.0,0.0,0.0,1.0,5.67,12.33,0.0,17.33,7.67,0.0,1.33,0.0,0.0,1.0,1.33,2.49,2.966,0.894,4.266,2.191,0.837,0.548,2.074,0.0,0.548,0.548,3.899,3.347,0.0,6.797,2.966,0.0,0.837,0.0,0.548,0.548,1.817,1.0,3.606,0.0,3.0,2.309,0.577,0.577,1.0,0.0,0.0,0.0,1.155,2.309,0.0,4.163,2.082,0.0,0.577,0.0,0.0,0.0,1.528,Leganes,28.52,11.36,1.08,2017-02-19,SP1,1.0,2.0,H,H,Barcelona,32.91,15.18,1.08,0.08,True,0.65133865873,-0.274587267196
24208,6.2,12.0,0.2,11.2,4.4,2.0,0.4,1.4,0.2,0.0,0.8,5.6,14.2,0.0,14.4,3.6,0.2,1.0,0.0,0.4,0.6,1.4,4.67,12.0,0.33,8.33,4.0,1.0,0.33,2.0,0.0,0.0,1.0,6.33,13.33,0.0,15.0,4.67,0.33,1.33,0.0,0.33,0.67,0.67,2.387,2.55,0.447,4.658,3.209,1.414,0.548,1.14,0.447,0.0,0.447,2.302,4.764,0.0,3.782,2.302,0.447,0.707,0.0,0.548,0.548,1.517,1.528,3.0,0.577,2.517,4.0,0.0,0.577,1.0,0.0,0.0,0.0,1.528,5.508,0.0,2.646,1.528,0.577,0.577,0.0,0.577,0.577,0.577,4.2,12.4,0.2,9.0,3.6,2.2,0.8,2.0,0.2,0.2,0.6,7.6,12.4,0.0,16.8,6.8,0.4,0.8,0.0,0.6,0.4,1.4,5.0,9.0,0.0,8.0,3.33,1.0,0.67,2.33,0.0,0.33,0.67,6.0,11.0,0.0,19.67,7.33,0.33,1.0,0.0,0.33,0.67,1.0,1.924,6.229,0.447,3.391,1.14,2.168,0.837,1.581,0.447,0.447,0.548,2.966,3.975,0.0,5.45,1.789,0.548,0.447,0.0,0.548,0.548,1.14,1.0,2.0,0.0,3.606,1.155,0.0,1.155,1.528,0.0,0.577,0.577,2.646,3.464,0.0,4.041,1.155,0.577,0.0,0.0,0.577,0.577,1.0,Aston Villa,5.99,3.72,1.61,2017-02-20,E1,0.0,2.0,H,H,Newcastle,6.82,3.82,1.63,0.61,True,0.598760878343,-0.0223571340798
24209,4.2,10.4,0.0,10.4,3.0,2.4,0.2,2.0,0.0,0.2,0.8,5.2,18.8,0.0,13.8,4.4,0.0,1.0,0.0,0.2,0.8,2.6,3.67,10.33,0.0,11.0,3.0,2.67,0.0,2.33,0.0,0.0,1.0,6.33,19.0,0.0,16.67,5.67,0.0,0.67,0.0,0.33,0.67,3.33,1.789,0.894,0.0,2.966,1.414,1.342,0.447,1.732,0.0,0.447,0.447,1.924,5.495,0.0,5.31,3.209,0.0,0.707,0.0,0.447,0.447,1.817,2.309,1.155,0.0,4.0,2.0,1.528,0.0,2.309,0.0,0.0,0.0,1.528,6.928,0.0,5.033,3.786,0.0,0.577,0.0,0.577,0.577,1.528,3.8,15.4,0.2,10.8,4.4,3.2,1.8,1.6,0.4,0.2,0.4,8.4,14.8,0.0,14.4,4.8,0.6,0.8,0.2,0.4,0.4,2.4,4.0,14.67,0.0,7.67,3.33,3.67,1.33,0.33,0.67,0.33,0.0,10.33,15.67,0.0,13.33,4.33,0.33,0.33,0.33,0.33,0.33,1.33,2.683,3.435,0.447,7.791,2.302,1.643,0.837,1.817,0.548,0.447,0.548,5.505,4.868,0.0,6.877,2.49,0.548,0.837,0.447,0.548,0.548,1.949,3.464,3.055,0.0,3.512,1.528,1.528,0.577,0.577,0.577,0.577,0.0,5.859,6.506,0.0,7.371,3.055,0.577,0.577,0.577,0.577,0.577,1.528,Las Palmas,4.0,3.46,1.96,2017-02-20,SP1,1.0,2.0,H,H,Malaga,4.25,3.54,1.99,0.96,True,0.576418622862,0.0662145412294
24211,3.6,11.6,0.2,11.0,4.8,1.8,2.2,1.8,0.6,0.2,0.2,3.8,13.6,0.0,15.2,5.8,0.4,0.8,0.0,0.6,0.4,1.6,3.33,11.67,0.33,10.0,4.0,1.67,1.67,1.67,0.33,0.33,0.33,3.33,13.33,0.0,15.33,3.67,0.33,0.67,0.0,0.67,0.33,1.67,1.517,2.302,0.447,2.55,1.789,0.837,0.837,1.095,0.548,0.447,0.447,2.775,1.673,0.0,3.564,3.701,0.548,0.447,0.0,0.548,0.548,0.894,0.577,3.215,0.577,3.0,2.0,0.577,0.577,1.528,0.577,0.577,0.577,1.528,2.082,0.0,3.055,1.155,0.577,0.577,0.0,0.577,0.577,1.155,2.4,12.8,0.4,5.0,1.8,3.0,0.8,2.0,0.0,0.2,0.8,6.2,9.6,0.0,17.6,6.0,0.6,1.0,0.2,0.4,0.4,1.0,3.33,13.0,0.33,5.67,2.0,4.0,0.67,2.33,0.0,0.0,1.0,7.0,10.0,0.0,17.33,6.67,0.67,1.67,0.0,0.33,0.67,1.0,1.673,1.789,0.548,2.55,0.837,2.121,0.447,0.707,0.0,0.447,0.447,1.789,2.074,0.0,3.782,1.871,0.548,1.225,0.447,0.548,0.548,0.707,1.528,2.0,0.577,3.215,1.0,1.732,0.577,0.577,0.0,0.0,0.0,2.0,2.0,0.0,4.933,2.082,0.577,1.155,0.0,0.577,0.577,1.0,Reading,4.35,3.6,1.83,2017-02-21,E1,0.0,1.0,H,D,Huddersfield,4.6,3.69,1.86,0.83,True,0.611683741484,0.0652356540526
24216,5.8,10.0,0.0,8.4,2.8,1.4,0.4,2.0,0.0,0.2,0.8,4.8,13.4,0.0,13.0,5.6,0.0,1.0,0.0,0.4,0.6,1.8,4.33,10.0,0.0,10.33,3.67,1.0,0.67,2.0,0.0,0.33,0.67,5.33,11.67,0.0,15.0,6.33,0.0,1.33,0.0,0.33,0.67,1.33,2.28,3.162,0.0,2.881,1.483,0.894,0.548,1.0,0.0,0.447,0.447,1.483,3.578,0.0,6.205,1.517,0.0,1.0,0.0,0.548,0.548,1.304,1.155,4.0,0.0,1.528,1.155,0.0,0.577,1.0,0.0,0.577,0.577,1.528,3.215,0.0,7.81,1.528,0.0,1.155,0.0,0.577,0.577,1.528,4.2,11.0,0.6,7.6,2.0,1.6,0.2,1.4,0.0,0.2,0.8,6.6,13.4,0.0,12.6,5.4,0.0,0.6,0.0,0.4,0.6,1.4,3.33,10.33,0.33,5.67,1.0,1.33,0.0,1.0,0.0,0.33,0.67,6.67,13.33,0.0,11.67,4.67,0.0,0.33,0.0,0.67,0.33,0.67,2.775,1.732,0.894,3.975,1.871,1.14,0.447,0.894,0.0,0.447,0.447,2.074,4.93,0.0,4.336,3.362,0.0,0.548,0.0,0.548,0.548,1.14,3.215,0.577,0.577,2.309,1.0,1.155,0.0,1.0,0.0,0.577,0.577,2.887,6.506,0.0,5.508,4.509,0.0,0.577,0.0,0.577,0.577,0.577,Chesterfield,7.47,4.29,1.43,2017-02-21,E2,0.0,0.0,D,D,Millwall,8.6,4.64,1.44,-1.0,True,0.619364528895,-0.0799361704052
24218,3.2,9.8,0.4,7.6,2.4,1.4,0.6,1.2,0.2,0.4,0.4,7.8,14.0,0.2,13.8,3.8,0.2,0.6,0.2,0.4,0.4,1.0,3.67,8.67,0.33,7.67,2.0,1.0,0.67,1.67,0.33,0.0,0.67,8.0,12.67,0.33,15.33,4.67,0.0,1.0,0.0,0.33,0.67,1.0,1.095,2.683,0.548,1.817,0.894,0.894,0.894,1.643,0.447,0.548,0.548,3.271,3.0,0.447,5.31,1.643,0.447,0.894,0.447,0.548,0.548,0.707,1.155,3.055,0.577,0.577,1.0,0.0,1.155,2.082,0.577,0.0,0.577,1.0,3.215,0.577,2.309,1.528,0.0,1.0,0.0,0.577,0.577,1.0,3.4,13.2,0.6,13.0,3.8,2.0,2.0,1.8,0.4,0.2,0.4,4.6,15.8,0.0,12.8,5.2,1.0,1.2,0.2,0.4,0.4,2.2,3.33,12.33,0.33,12.0,4.0,1.67,2.33,1.0,0.67,0.0,0.33,4.33,18.67,0.0,10.33,3.0,1.33,0.67,0.33,0.67,0.0,1.67,2.074,5.541,0.548,3.674,0.837,1.0,1.581,1.643,0.548,0.447,0.548,1.817,6.797,0.0,5.263,3.347,1.0,1.304,0.447,0.548,0.548,1.304,1.528,7.506,0.577,4.583,1.0,1.155,1.528,1.732,0.577,0.0,0.577,2.309,7.024,0.0,5.686,2.0,1.155,1.155,0.577,0.577,0.0,1.155,Nancy,3.68,3.18,2.16,2017-02-21,F1,0.0,1.0,H,H,Caen,3.93,3.21,2.18,1.16,True,0.537101450442,0.0741384874787
24228,5.0,19.4,0.2,12.8,3.4,2.4,1.4,1.4,0.4,0.0,0.6,3.2,13.2,0.0,14.0,4.0,0.8,0.6,0.4,0.4,0.2,1.6,5.0,19.33,0.33,11.0,3.0,1.67,1.33,1.33,0.33,0.0,0.67,3.0,12.67,0.0,13.67,3.33,0.67,0.67,0.33,0.33,0.33,1.33,1.414,3.912,0.447,4.604,1.673,1.14,1.14,1.517,0.548,0.0,0.548,2.28,2.387,0.0,3.606,3.391,0.837,0.894,0.548,0.548,0.447,0.894,1.732,3.215,0.577,0.0,2.0,0.577,1.528,1.528,0.577,0.0,0.577,2.0,2.517,0.0,2.309,3.512,1.155,1.155,0.577,0.577,0.577,1.155,2.6,13.6,0.2,7.2,3.0,0.8,0.6,2.4,0.0,0.4,0.6,8.2,11.0,0.0,17.8,7.6,0.6,1.6,0.0,0.6,0.4,0.6,3.0,10.67,0.33,6.0,2.67,0.67,0.33,3.0,0.0,0.33,0.67,9.0,13.33,0.0,18.33,8.33,0.33,2.0,0.0,0.33,0.67,1.0,1.14,7.603,0.447,3.347,0.707,0.837,0.548,1.673,0.0,0.548,0.548,1.483,3.24,0.0,5.167,3.05,0.548,0.894,0.0,0.548,0.548,0.548,1.0,5.859,0.577,1.0,0.577,0.577,0.577,2.0,0.0,0.577,0.577,1.0,0.577,0.0,6.028,3.786,0.577,1.0,0.0,0.577,0.577,0.0,Hamburg,18.99,7.8,1.15,2017-02-25,D1,0.0,8.0,H,H,Bayern Munich,21.03,8.52,1.17,0.15,True,0.59788722265,-0.271677994742
