,INFO_Date,INFO_Div,INFO_HomeTeam,INFO_AwayTeam,INFO_FTHG,INFO_FTAG,INFO_FTR,INFO_BbAvH,INFO_PSH,PROBS,INFO_FTR_H,PROB_LESS_ODD,WIN_AVG,WIN_PINNACLE
66,2011-12-21,F1,Sochaux,Ajaccio,0.0,2.0,A,1.65,,0.53048592478,False,-0.0755746812802,-1.0,-1.0
67,2011-12-21,F1,St Etienne,Paris SG,0.0,1.0,A,3.24,,0.454331863796,False,0.145689888488,-1.0,-1.0
68,2011-12-21,F1,Toulouse,Brest,0.0,0.0,D,1.82,,0.514469344273,False,-0.0349812051777,-1.0,-1.0
69,2011-12-21,F1,Valenciennes,Lyon,1.0,0.0,H,3.05,,0.469693756544,True,0.141824904085,2.05,2.05
70,2012-01-14,F1,Ajaccio,Auxerre,2.0,1.0,H,2.79,,0.426344053399,True,0.0679211143309,1.79,1.79
71,2012-01-14,F1,Bordeaux,Valenciennes,2.0,1.0,H,1.81,,0.50147628333,True,-0.0510099045149,0.81,0.81
72,2012-01-14,F1,Brest,Nice,1.0,0.0,H,1.97,,0.484988455023,True,-0.0226257581753,0.97,0.97
73,2012-01-14,F1,Caen,Rennes,0.0,2.0,A,2.9,,0.430631641001,False,0.0858040547937,-1.0,-1.0
74,2012-01-14,F1,Dijon,Evian Thonon Gaillard,3.0,1.0,H,2.27,,0.501288656231,True,0.0607600218695,1.27,1.27
75,2012-01-14,F1,Montpellier,Lyon,1.0,0.0,H,2.66,,0.426542003377,True,0.0506021537533,1.66,1.66
76,2012-01-14,F1,Nancy,Lorient,2.0,2.0,D,2.43,,0.454135404455,False,0.04261277071,-1.0,-1.0
77,2012-01-14,F1,Paris SG,Toulouse,3.0,1.0,H,1.57,,0.524216376647,True,-0.112726298512,0.57,0.57
78,2012-01-14,F1,St Etienne,Sochaux,1.0,0.0,H,1.67,,0.586953009444,True,-0.0118493857657,0.67,0.67
79,2012-01-15,F1,Marseille,Lille,2.0,0.0,H,2.18,,0.499190383542,True,0.0404747872118,1.18,1.18
80,2012-01-28,F1,Auxerre,Nancy,1.0,3.0,A,2.05,,0.503975690431,False,0.0161708123825,-1.0,-1.0
81,2012-01-28,F1,Brest,Paris SG,0.0,1.0,A,3.88,,0.436302704254,False,0.178570745492,-1.0,-1.0
82,2012-01-28,F1,Lille,St Etienne,3.0,0.0,H,1.59,,0.48202329464,True,-0.14690752297,0.59,0.59
83,2012-01-28,F1,Lorient,Sochaux,1.0,1.0,D,1.68,,0.497421779954,False,-0.0978163152845,-1.0,-1.0
84,2012-01-28,F1,Lyon,Dijon,3.0,1.0,H,1.37,,0.499177853772,True,-0.230749153527,0.37,0.37
85,2012-01-28,F1,Nice,Montpellier,0.0,1.0,A,2.95,,0.435352679181,False,0.0963696283336,-1.0,-1.0
86,2012-01-28,F1,Toulouse,Caen,1.0,0.0,H,1.77,,0.507682638816,True,-0.0572891125969,0.77,0.77
87,2012-01-29,F1,Evian Thonon Gaillard,Bordeaux,0.0,0.0,D,2.74,,0.447819903405,False,0.0828563997555,-1.0,-1.0
88,2012-01-29,F1,Rennes,Marseille,1.0,2.0,A,2.77,,0.440244852307,False,0.0792340219824,-1.0,-1.0
89,2012-01-29,F1,Valenciennes,Ajaccio,1.0,2.0,A,1.57,,0.567847511614,False,-0.0690951635448,-1.0,-1.0
90,2012-02-04,F1,Ajaccio,Nice,1.0,1.0,D,2.39,,0.48220514311,False,0.0637951012685,-1.0,-1.0
91,2012-02-04,F1,Bordeaux,Toulouse,2.0,0.0,H,1.98,,0.507459305428,True,0.00240880037755,0.98,0.98
92,2012-02-04,F1,Dijon,Valenciennes,1.0,2.0,A,2.54,,0.428562331926,False,0.0348615445249,-1.0,-1.0
93,2012-02-04,F1,Montpellier,Brest,1.0,0.0,H,1.57,,0.515866339511,True,-0.121076335648,0.57,0.57
94,2012-02-04,F1,Nancy,Rennes,0.0,0.0,D,3.07,,0.418386202968,False,0.0926533039451,-1.0,-1.0
95,2012-02-04,F1,Paris SG,Evian Thonon Gaillard,3.0,1.0,H,1.34,,0.62708167829,True,-0.119186978427,0.34,0.34
96,2012-02-05,F1,Marseille,Lyon,2.0,2.0,D,1.97,,0.466873363032,False,-0.0407408501657,-1.0,-1.0
