,INFO_Div,INFO_Date,probs_A,probs_D,probs_H,probs,prob_less_bet,pred,INFO_FTR,INFO_ODD_BET,WIN,WIN_P
2850,E2,2017-02-28,0.243211094692,0.288380390291,0.468408515017,0.468408515017,-0.026640989933,H,D,2.02,-1.0,-1.0
2851,SP1,2014-01-05,0.314943490425,0.295945152358,0.389111357217,0.389111357217,-0.0258264021193,H,H,2.41,1.41,1.47
2852,E0,2014-12-06,0.158428845714,0.231715308522,0.609855845764,0.609855845764,-0.0190749718459,H,D,1.59,-1.0,-1.0
2853,SC0,2009-11-07,0.381177639456,0.296024211865,0.322798148679,0.381177639456,-0.0498568433022,A,D,2.32,-1.0,-1.0
2854,E0,2010-12-29,0.0614009041359,0.190796138371,0.747802957493,0.747802957493,-0.00977280008265,H,A,1.32,-1.0,-1.0
2855,I1,2012-05-02,0.461612207494,0.264044355564,0.274343436941,0.461612207494,-0.0485918741384,A,H,1.96,-1.0,-1.0
2856,E1,2011-02-22,0.0971058273617,0.21217819363,0.690715979009,0.690715979009,-0.0235697352772,H,D,1.4,-1.0,-1.0
2857,E2,2015-01-17,0.177738194173,0.259926014288,0.562335791539,0.562335791539,-0.051161140976,H,H,1.63,0.63,0.67
2858,SC0,2014-12-27,0.387081251791,0.29057939682,0.322339351389,0.387081251791,-0.0295854148756,A,H,2.4,-1.0,-1.0
2859,I1,2015-05-17,0.0597019504611,0.16695012872,0.773347920819,0.773347920819,-0.00184587763102,H,H,1.29,0.29,0.31
2860,SC0,2015-02-21,0.212615532576,0.243324853418,0.544059614005,0.544059614005,-0.0114959415501,H,A,1.8,-1.0,-1.0
2861,E2,2016-01-16,0.381490964391,0.285514234633,0.332994800976,0.381490964391,-0.0334467949446,A,A,2.41,1.41,1.5
2862,D1,2012-03-09,0.161111535612,0.229486443524,0.609402020864,0.609402020864,-0.00788192975369,H,D,1.62,-1.0,-1.0
2863,SP1,2017-02-11,0.173879701023,0.269463992143,0.556656306835,0.556656306835,-0.0281390148027,H,H,1.71,0.71,0.75
2864,E1,2014-04-19,0.252022950863,0.291044408821,0.456932640317,0.456932640317,-0.0585312772092,H,A,1.94,-1.0,-1.0
2865,E1,2010-03-27,0.344369575274,0.275767571353,0.379862853373,0.379862853373,-0.0077340458518,H,A,2.58,-1.0,-1.0
2866,E0,2015-02-07,0.028356694202,0.0999081302214,0.871735175577,0.871735175577,0.024277548458,H,D,1.18,-1.0,-1.0
2867,SP1,2011-01-15,0.195686453677,0.257133714293,0.54717983203,0.54717983203,-0.0342155168071,H,A,1.72,-1.0,-1.0
2868,E2,2010-04-13,0.255439068096,0.296726078429,0.447834853475,0.447834853475,-0.0676290640509,H,D,1.94,-1.0,-1.0
2869,D1,2017-01-28,0.176792241916,0.229439762767,0.593767995317,0.593767995317,0.0190553516391,H,H,1.74,0.74,0.74
2870,F1,2016-05-07,0.299070134452,0.303306788517,0.397623077031,0.397623077031,-0.0122129885425,H,H,2.44,1.44,1.47
2871,E0,2014-12-26,0.197395774267,0.253037902762,0.549566322971,0.549566322971,-0.00598923258434,H,A,1.8,-1.0,-1.0
2872,F1,2011-01-15,0.215019542698,0.30764756162,0.477332895683,0.477332895683,-0.0462273137413,H,D,1.91,-1.0,-1.0
2873,F1,2012-12-02,0.303837092525,0.292778398525,0.40338450895,0.40338450895,-0.0185564193198,H,H,2.37,1.37,1.4
2874,E1,2014-12-13,0.18070805342,0.235013756017,0.584278190563,0.584278190563,-0.0109599046752,H,H,1.68,0.68,0.69
2875,F1,2011-04-09,0.224141299407,0.282128167218,0.493730533375,0.493730533375,-0.0190899794455,H,D,1.95,-1.0,-1.0
2876,E1,2016-11-26,0.277373732885,0.27296433504,0.449661932075,0.449661932075,-0.0133010308878,H,A,2.16,-1.0,-1.0
2877,E1,2010-01-09,0.209462280019,0.29048719368,0.5000505263,0.5000505263,-0.0617472265088,H,D,1.78,-1.0,-1.0
2878,D1,2012-11-10,0.274532946642,0.267852379398,0.45761467396,0.45761467396,-0.0301902040886,H,D,2.05,-1.0,-1.0
2879,SP1,2017-04-30,0.460255892727,0.242810860469,0.296933246803,0.460255892727,-0.0397441072725,A,D,2.0,-1.0,-1.0
2880,E2,2017-01-02,0.27240892422,0.256177881885,0.471413193894,0.471413193894,-0.0116785935454,H,D,2.07,-1.0,-1.0
2881,SP1,2014-03-15,0.807701175289,0.107280454293,0.0850183704175,0.807701175289,0.0140503816383,A,A,1.26,0.26,0.28
2882,F1,2012-02-04,0.137323844308,0.262046830528,0.600629325164,0.600629325164,-0.0363133499955,H,H,1.57,0.57,
2883,E2,2013-04-16,0.437171083203,0.251324732541,0.311504184257,0.437171083203,-0.0554397542358,A,H,2.03,-1.0,-1.0
2884,E0,2015-03-15,0.213116533973,0.264649120997,0.52223434503,0.52223434503,-0.0302518428158,H,H,1.81,0.81,0.82
2885,E0,2011-12-12,0.334302149572,0.311092548599,0.354605301829,0.354605301829,-0.0603324575075,H,H,2.41,1.41,
2886,D1,2016-04-08,0.126575580754,0.217697442615,0.655726976631,0.655726976631,-0.0109396900356,H,D,1.5,-1.0,-1.0
2887,E2,2014-03-25,0.240413290225,0.293392273613,0.466194436163,0.466194436163,-0.0492694813631,H,H,1.94,0.94,0.94
2888,E0,2017-04-22,0.26596455601,0.262376486799,0.471658957191,0.471658957191,0.0129433608611,H,H,2.18,1.18,1.15
2889,D1,2014-05-03,0.381590364097,0.281838778157,0.336570857746,0.381590364097,-0.0282457014772,A,A,2.44,1.44,1.47
2890,I1,2015-01-18,0.129786557194,0.244038325434,0.626175117372,0.626175117372,-0.0231755319783,H,A,1.54,-1.0,-1.0
2891,I1,2010-04-11,0.257081011241,0.532981444752,0.209937544007,0.532981444752,-0.0805154877634,D,A,1.63,-1.0,-1.0
2892,I1,2016-11-06,0.674659774002,0.218081363402,0.107258862596,0.674659774002,-0.0149953984113,A,A,1.45,0.45,0.49
2893,D1,2010-02-07,0.142864139895,0.254499298205,0.602636561901,0.602636561901,-0.0223634380994,H,A,1.6,-1.0,-1.0
2894,D1,2012-11-17,0.377233984534,0.282625477355,0.340140538111,0.377233984534,-0.0195914122913,A,H,2.52,-1.0,-1.0
2895,E1,2017-03-04,0.468538590957,0.263600398464,0.26786101058,0.468538590957,-0.0416654906759,A,H,1.96,-1.0,-1.0
2896,SC0,2010-01-12,0.339072417268,0.276187175463,0.384740407269,0.384740407269,0.00595252848113,H,H,2.64,1.64,
2897,D1,2017-05-13,0.267924122204,0.245527075527,0.486548802269,0.486548802269,-0.0210654109294,H,D,1.97,-1.0,-1.0
2898,F1,2014-03-29,0.479161505962,0.27200907725,0.248829416788,0.479161505962,-0.0363024115639,A,D,1.94,-1.0,-1.0
2899,E2,2014-11-29,0.443715504051,0.270505680966,0.285778814983,0.443715504051,-0.041721389153,A,D,2.06,-1.0,-1.0
2900,E0,2014-11-02,0.221965423419,0.24115024684,0.53688432974,0.53688432974,0.0049694361233,H,H,1.88,0.88,0.9
2901,F1,2013-05-11,0.279187175547,0.291632472598,0.429180351856,0.429180351856,-0.0192501414179,H,H,2.23,1.23,1.34
2902,E1,2012-11-03,0.337944804774,0.271136913377,0.390918281849,0.390918281849,-0.0223048586471,H,H,2.42,1.42,1.44
2903,E2,2014-12-13,0.205598271335,0.266968317061,0.527433411604,0.527433411604,-0.0506012704768,H,A,1.73,-1.0,-1.0
2904,E0,2011-03-19,0.0863816807444,0.207581757558,0.706036561698,0.706036561698,-0.00824915258759,H,H,1.4,0.4,
2905,D1,2013-12-08,0.441539033411,0.274030743464,0.284430223125,0.441539033411,-0.0369298661108,A,A,2.09,1.09,1.11
2906,SP1,2014-04-26,0.427437120376,0.267938088606,0.304624791018,0.427437120376,-0.0271083341693,A,A,2.2,1.2,1.31
2907,SC0,2015-05-09,0.170438042085,0.215297948637,0.614264009278,0.614264009278,-0.014666808332,H,A,1.59,-1.0,-1.0
2908,F1,2014-04-20,0.0784848306691,0.21111315018,0.710402019151,0.710402019151,-0.0248920984964,H,H,1.36,0.36,0.38
2909,I1,2016-03-06,0.065264173023,0.154865913863,0.779869913114,0.779869913114,-0.00138008688642,H,H,1.28,0.28,0.3
2910,E1,2011-12-26,0.261334392408,0.26590830457,0.472757303022,0.472757303022,-0.0374467786108,H,A,1.96,-1.0,-1.0
2911,D1,2012-04-28,0.291445884722,0.257003008067,0.451551107211,0.451551107211,-0.029218123558,H,H,2.08,1.08,
2912,SP1,2011-05-07,0.25728747778,0.282761944015,0.459950578205,0.459950578205,-0.0185183213167,H,D,2.09,-1.0,-1.0
2913,I1,2010-02-28,0.307896593712,0.297671736553,0.394431669735,0.394431669735,-0.0205060896013,H,D,2.41,-1.0,-1.0
2914,E2,2010-01-30,0.290044394726,0.283777167341,0.426178437933,0.426178437933,-0.0411112816935,H,D,2.14,-1.0,-1.0
2915,SC0,2010-01-23,0.160706081494,0.266523268758,0.572770649748,0.572770649748,-0.052229350252,H,H,1.6,0.6,
2916,SP1,2015-12-12,0.154840276784,0.201089056918,0.644070666298,0.644070666298,-0.0138240705443,H,H,1.52,0.52,0.53
2917,E0,2010-12-29,0.627828939867,0.232537299825,0.139633760308,0.627828939867,-0.0388377267995,A,D,1.5,-1.0,-1.0
2918,E2,2010-01-16,0.295705547384,0.279746241985,0.424548210631,0.424548210631,-0.0384147523319,H,H,2.16,1.16,
2919,E2,2013-04-01,0.165118969255,0.262093154403,0.572787876342,0.572787876342,-0.0444960742751,H,D,1.62,-1.0,-1.0
2920,SP1,2017-02-26,0.356540277512,0.288238535114,0.355221187374,0.356540277512,-0.0138300928584,A,D,2.7,-1.0,-1.0
2921,I1,2009-11-22,0.291309582495,0.294146263958,0.414544153547,0.414544153547,-0.0128062738038,H,A,2.34,-1.0,-1.0
2922,E1,2016-12-03,0.411694084209,0.297802631949,0.290503283842,0.411694084209,-0.0367364090649,A,A,2.23,1.23,1.24
2923,F1,2012-04-07,0.0896271279122,0.206313966469,0.704058905618,0.704058905618,-0.0205787755411,H,H,1.38,0.38,
2924,E2,2014-01-28,0.439293319551,0.267622785363,0.293083895086,0.439293319551,-0.0368971566397,A,H,2.1,-1.0,-1.0
2925,F1,2011-03-05,0.304090528425,0.303271560876,0.392637910698,0.392637910698,-0.0222998486379,H,H,2.41,1.41,
2926,D1,2015-03-13,0.116498756479,0.203610237083,0.679891006438,0.679891006438,-0.00976416597561,H,H,1.45,0.45,0.46
2927,F1,2012-12-15,0.472253750013,0.289000307842,0.238745942145,0.472253750013,-0.0432101675129,A,D,1.94,-1.0,-1.0
2928,E2,2014-02-22,0.393686902374,0.270803329595,0.33550976803,0.393686902374,-0.0429943203329,A,A,2.29,1.29,1.37
2929,D1,2015-12-19,0.315110748235,0.284114086661,0.400775165104,0.400775165104,-0.0229536484552,H,A,2.36,-1.0,-1.0
2930,SP1,2010-04-17,0.708016166232,0.175355801895,0.116628031873,0.708016166232,-0.0495595913433,A,D,1.32,-1.0,-1.0
2931,I1,2010-04-03,0.306231114867,0.322651548502,0.37111733663,0.37111733663,-0.0455493300365,H,D,2.4,-1.0,-1.0
