,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
154,0.155181020498,0.00351512432098,-15.9411487027,-8.35859755358,entropy,30,sqrt,10,30,"{'max_features': 'sqrt', 'min_samples_split': 30, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 10}",150,-16.1082772636,-8.34576363512,-15.6337806942,-8.44210559183,-16.1831952185,-8.2101791815,-16.1332614785,-8.37788282468,-16.2830979664,-8.36717700638,-15.1592725615,-8.56342591889,-16.0583475707,-8.34220532686,-15.9699777135,-8.2200409434,0.0128502929424,0.000827713140692,0.346556887295,0.106673064979
155,0.152549535036,0.0034593641758,-15.8381183133,-9.43837530431,entropy,30,sqrt,10,50,"{'max_features': 'sqrt', 'min_samples_split': 50, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 10}",138,-15.1842255556,-9.66239185958,-16.4079855073,-9.28775487978,-15.7586364362,-9.25919523752,-16.308067149,-9.34126431175,-15.4839233924,-9.61600697401,-15.658746986,-9.51967749037,-15.78362412,-9.38764994075,-16.119941136,-9.43306174072,0.0160012884516,0.00103556357782,0.390443380898,0.139270565152
156,0.144331276417,0.00475412607193,-16.1347249904,-0.250648362389,entropy,30,log2,1,2,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1}",200,-16.0333633558,-0.0499529409838,-16.732660621,-0.246198797186,-16.2081892621,-0.470987527231,-16.3330594582,-0.146293163027,-16.1082911395,-0.146291758775,-15.8335798302,-0.107042571014,-15.3091125184,-0.0713621820935,-16.5198221886,-0.7670579588,0.0130641388379,0.00232539163958,0.408330602975,0.231860177625
157,0.136669337749,0.00415661931038,-16.3189204368,-3.36466298657,entropy,30,log2,1,10,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1}",215,-15.9584326814,-3.30048157206,-16.4579267634,-3.28621125028,-16.2331653827,-3.16846261316,-16.4828907426,-3.09710092668,-17.0323457383,-3.65015678472,-15.8835089449,-3.73221313808,-16.2581374561,-3.30761660905,-16.2449022653,-3.37506099856,0.0133440407737,0.00209591308423,0.333789428155,0.20625233387
158,0.117894768715,0.00302723050117,-16.1565712417,-7.19318541666,entropy,30,log2,1,30,"{'max_features': 'log2', 'min_samples_split': 30, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1}",203,-16.7326386509,-7.48586137202,-15.4339867616,-7.21111920538,-16.4329500647,-7.13975289313,-16.0833103936,-7.14688842574,-16.5827877089,-7.08266656722,-16.1082755291,-7.34670151132,-16.6077707674,-7.10764188127,-15.2702091593,-7.0248514772,0.00856954636221,0.000189081319976,0.513391738083,0.142484604688
159,0.105964452028,0.00455811619759,-15.7787981343,-8.85856698672,entropy,30,log2,1,50,"{'max_features': 'log2', 'min_samples_split': 50, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1}",120,-15.483929174,-9.00586247718,-15.5588419255,-8.83815767756,-15.5588650519,-8.92737037949,-16.5078720667,-8.74182447677,-15.4589438029,-9.13787837977,-15.5588488634,-8.76680078206,-15.9334455757,-8.80960761725,-16.1699214219,-8.64103410369,0.012624931143,0.00362614955913,0.36104175126,0.148588646757
160,0.123692303896,0.00349748134613,-16.1347187023,-2.96593885013,entropy,30,log2,3,2,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 3}",199,-15.3340961551,-3.0150358174,-15.3590682286,-2.77240862755,-16.1082905613,-3.01147131391,-16.4079791475,-2.96151705128,-16.3580153431,-3.04001170967,-16.3330369099,-2.88301644548,-16.4829023059,-3.18273681728,-16.6947659182,-2.86131301843,0.007011538766,0.000524279514507,0.479845774808,0.118463102769
161,0.122047513723,0.00328350067139,-16.0847650538,-4.16122922872,entropy,30,log2,3,10,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 3}",191,-15.9584459791,-4.15325928875,-15.933471593,-4.12470898064,-16.358022281,-4.13541265126,-15.9334582953,-4.15682494868,-15.6837231066,-4.22461717549,-16.333055411,-4.19964202665,-15.8585397623,-4.04621498308,-16.6197908606,-4.24915377518,0.00918097917405,0.000403144174307,0.294995477102,0.0597240730667
162,0.11474108696,0.00337314605713,-15.7257268864,-7.47550296291,entropy,30,log2,3,30,"{'max_features': 'log2', 'min_samples_split': 30, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 3}",97,-15.9334530918,-7.61430814536,-15.3090945954,-7.30388121183,-15.1342900811,-7.5358060527,-16.2081829023,-7.53937666881,-15.8085985061,-7.67140512706,-15.5838197805,-7.26106611634,-16.6077765491,-7.43947202589,-15.2202340805,-7.43870835526,0.00908324293895,0.00112940987888,0.482158842713,0.133907667688
163,0.110789746046,0.00429013371468,-15.7725580209,-8.94419909555,entropy,30,log2,3,50,"{'max_features': 'log2', 'min_samples_split': 50, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 3}",110,-15.9084844874,-8.95234577614,-15.8585478565,-8.96305217267,-16.2331509286,-9.02014147228,-16.25812994,-8.72755663308,-15.5089041383,-8.70614879623,-15.5338738991,-8.95590821455,-15.5838313438,-9.14502019021,-15.2951964094,-9.08341950921,0.00603143484902,0.00300897747645,0.328573586258,0.14561914888
164,0.0959729254246,0.00272408127785,-15.9754873233,-8.35368560954,entropy,30,log2,10,2,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 10}",163,-15.0343994746,-8.37431212597,-16.4329448612,-8.37431212597,-16.1082801544,-8.39928512713,-16.0583313822,-8.57412141181,-16.1831981093,-8.25299336836,-15.8585368715,-8.24229085418,-16.4329356106,-8.37430254402,-15.6950693618,-8.23786731885,0.00594702815764,0.000574803422786,0.427814305652,0.104826534504
165,0.105767518282,0.00304248929024,-15.9754873233,-8.35368560954,entropy,30,log2,10,10,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 10}",163,-15.0343994746,-8.37431212597,-16.4329448612,-8.37431212597,-16.1082801544,-8.39928512713,-16.0583313822,-8.57412141181,-16.1831981093,-8.25299336836,-15.8585368715,-8.24229085418,-16.4329356106,-8.37430254402,-15.6950693618,-8.23786731885,0.0101819663986,0.000496609581512,0.427814305652,0.104826534504
166,0.0959191024303,0.00277462601662,-15.753821057,-8.96292931017,entropy,30,log2,10,30,"{'max_features': 'log2', 'min_samples_split': 30, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 10}",104,-15.2092103487,-9.11647112114,-15.9834157399,-9.10577339794,-16.0583279132,-8.88811557472,-15.883512992,-8.96661089393,-15.8085915682,-8.64548838488,-16.1332522279,-8.77393689289,-15.1842284464,-9.13074565567,-15.7700409479,-9.07629256015,0.00639489319029,0.000328388076911,0.3410662575,0.168482416478
167,0.0974530279636,0.00318720936775,-15.7881635083,-10.0141653619,entropy,30,log2,10,50,"{'max_features': 'log2', 'min_samples_split': 50, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 10}",124,-15.9584292124,-10.0941316859,-15.8335705796,-10.1476517737,-15.3590566653,-9.84436252043,-15.9084735023,-9.96924297302,-15.8835083668,-9.94784224002,-15.4090042812,-9.99422819943,-16.5078761138,-9.98709861424,-15.4451413173,-10.1287648888,0.0116543048608,0.000681867647746,0.356750815601,0.0959988075673
168,1.57294514775,0.00528845191002,-15.969256389,-0.0860789292859,entropy,30,,1,2,"{'max_features': None, 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1}",162,-16.2581443941,-0.0107042488411,-16.8575215665,-0.0321132421416,-15.3840391457,-0.142722712126,-16.0333766536,-0.0999057993646,-15.4589617259,-0.0856352297747,-15.7087038525,-0.2212224919,-15.9834145836,-9.99200722163e-16,-16.0699620072,-0.0963277101392,0.0580399610746,0.00367144870718,0.441280203923,0.0687131148989
169,1.5408038795,0.00360149145126,-15.9411573036,-1.29252563193,entropy,30,,1,10,"{'max_features': None, 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1}",152,-16.4079883981,-1.27380932923,-16.4579342795,-1.24169674791,-15.309121769,-1.3487412188,-16.3330629271,-1.220287259,-15.6587550803,-1.39512569135,-16.0833098154,-1.37371488079,-15.9584367285,-1.21671870796,-15.3202004383,-1.27011122042,0.0309756120202,0.00118095996437,0.436427531848,0.0658407283301
170,1.41568419337,0.00419443845749,-15.8755900727,-5.11791658387,entropy,30,,1,30,"{'max_features': None, 'min_samples_split': 30, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1}",145,-16.258136878,-5.0631218445,-16.0083999548,-5.05955824965,-15.1842452131,-5.1523281034,-16.1082922958,-5.02744963328,-15.5338837279,-5.20228112699,-16.2830979664,-5.05598672491,-16.2830939192,-5.15945719297,-15.3451871098,-5.22314979527,0.050807972705,0.00253060308382,0.422230187348,0.0702930606556
171,1.29825520515,0.00285583734512,-15.6913895668,-6.95858540067,entropy,30,,1,50,"{'max_features': None, 'min_samples_split': 50, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1}",93,-16.4079751004,-6.80434990213,-15.708709056,-7.0469914649,-14.984456484,-7.0398588234,-16.2081742299,-6.79007735006,-15.2591695278,-7.13262256452,-15.7086980709,-6.96848276399,-16.2331543976,-6.86857638641,-15.0202944221,-7.01772394998,0.0291382669497,0.00012129723878,0.525771025422,0.116506671713
172,1.50576221943,0.00349155068398,-15.9661353927,-1.20912225805,entropy,30,,3,2,"{'max_features': None, 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 3}",161,-16.1582537876,-1.17390369507,-16.4079912889,-1.14179136156,-15.8086037096,-1.23099266428,-16.0333714501,-1.19531128412,-15.6088091989,-1.2488345108,-16.0083907042,-1.26667511828,-16.0833103936,-1.15606234417,-15.6201024044,-1.25940708615,0.0355494269147,0.00136291634542,0.25602250277,0.0456565543015
173,1.4801530242,0.00299021601677,-16.1191124198,-1.85850658962,entropy,30,,3,10,"{'max_features': None, 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 3}",195,-16.0333812789,-1.91606673779,-16.2831118423,-1.79118232026,-15.958445401,-1.84827484139,-16.6577178052,-1.80902160608,-15.8335752049,-1.88752204668,-16.158230083,-1.95174481383,-16.0083855008,-1.82686138753,-16.019980564,-1.83737896341,0.0411930553907,0.000448473276087,0.238573523417,0.0516989346807
