,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,43.2195619941,9.33697777987,-13.8118729246,-1.70878983297,1,0.01,rbf,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",11,-13.7481850565,-1.69010581942,-14.2851317562,-1.72757201003,-14.1602583802,-1.773363903,-13.0536423804,-1.64411759944,0.380062805593,0.167257619582,0.480674456195,0.0475767034565
11,27.75479877,5.26652276516,-16.0847672221,-17.7071907364,1,0.01,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.01}",20,-15.9584422211,-17.8378154029,-16.545326997,-17.4798087563,-15.846062398,-17.7587207005,-15.9892027225,-17.7524180859,0.527696407592,0.0583531720784,0.271205258347,0.135523262493
12,172.914328694,6.51396852732,-13.7150909604,-12.6306981621,1,0.1,linear,"{'kernel': 'linear', 'C': 1, 'gamma': 0.1}",5,-13.535907978,-12.6633452792,-14.1103194367,-12.5842524079,-13.8855476491,-12.5551070047,-13.3284489942,-12.7200879568,1.51412480251,0.545052262673,0.302836049804,0.0650530568363
13,61.3420914412,9.94847148657,-15.63501692,-9.99200722163e-16,1,0.1,rbf,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.1}",14,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.639257883,-9.99200722163e-16,0.0519416586852,0.563713185867,0.00244807847814,0.0
14,34.6167322397,4.74979376793,-16.5062456974,-17.1712425419,1,0.1,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.1}",22,-16.358022281,-17.0218986929,-16.7701031208,-17.2508553629,-15.9584482918,-17.2009011488,-16.9385653936,-17.2113149628,4.81398079967,0.030802156786,0.380314987781,0.0882145373435
15,173.296840668,6.28998970985,-13.7150909604,-12.6306981621,1,1,linear,"{'kernel': 'linear', 'C': 1, 'gamma': 1}",5,-13.535907978,-12.6633452792,-14.1103194367,-12.5842524079,-13.8855476491,-12.5551070047,-13.3284489942,-12.7200879568,2.64012051412,0.532241688452,0.302836049804,0.0650530568363
16,58.4116232991,9.53119373322,-15.63501692,-9.99200722163e-16,1,1,rbf,"{'kernel': 'rbf', 'C': 1, 'gamma': 1}",14,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.639257883,-9.99200722163e-16,0.691039812072,0.0768704819767,0.00244807847814,0.0
17,21.9618750215,4.71584874392,-16.6061529222,-17.2097582081,1,1,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'gamma': 1}",25,-16.7326467451,-17.4048807118,-16.8699992199,-17.2133898469,-16.7576191077,-17.3174609817,-16.0641506644,-16.9033012922,0.456292553637,0.0571775386528,0.31711754905,0.189474080682
18,437.760402322,6.4411907196,-13.6588940906,-12.6306972311,3,0.01,linear,"{'kernel': 'linear', 'C': 3, 'gamma': 0.01}",1,-13.47347288,-12.6383681721,-14.0229093744,-12.5676009068,-13.8730607451,-12.5634329961,-13.2659913156,-12.7533868492,8.3218314983,0.635124313644,0.302946145423,0.0768394579091
19,97.9614475965,9.74335807562,-14.5237259141,-9.99200722163e-16,3,0.01,rbf,"{'kernel': 'rbf', 'C': 3, 'gamma': 0.01}",13,-14.7346877619,-9.99200722163e-16,-14.6597700961,-9.99200722163e-16,-14.472461044,-9.99200722163e-16,-14.2278777955,-9.99200722163e-16,0.144047576052,0.222674098287,0.195671482006,0.0
20,24.9135548472,4.78352499008,-16.2502387868,-17.5625399796,3,0.01,sigmoid,"{'kernel': 'sigmoid', 'C': 3, 'gamma': 0.01}",21,-16.1582370209,-17.7087678356,-16.5578173699,-17.375740609,-16.1082963429,-17.6338369963,-16.1765777825,-17.5318144775,1.03914294616,0.0543365228955,0.179340581717,0.124803757756
21,431.86718446,6.4529812336,-13.6588940906,-12.6306972311,3,0.1,linear,"{'kernel': 'linear', 'C': 3, 'gamma': 0.1}",1,-13.47347288,-12.6383681721,-14.0229093744,-12.5676009068,-13.8730607451,-12.5634329961,-13.2659913156,-12.7533868492,8.32707385206,0.711337078414,0.302946145423,0.0768394579091
22,126.489248037,9.68301975727,-15.63501692,-9.99200722163e-16,3,0.1,rbf,"{'kernel': 'rbf', 'C': 3, 'gamma': 0.1}",14,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.639257883,-9.99200722163e-16,3.842751265,0.182146091861,0.00244807847814,0.0
23,37.4152956009,4.73506915569,-16.6561065707,-17.1951800578,3,0.1,sigmoid,"{'kernel': 'sigmoid', 'C': 3, 'gamma': 0.1}",27,-16.8700029779,-17.2841579796,-16.8075641219,-17.2258781595,-15.9959087146,-17.1009925279,-16.9510571028,-17.1696915641,2.72096937451,0.0606138605834,0.384567973371,0.0677871634367
24,431.164533436,6.38172376156,-13.6588940906,-12.6306972311,3,1,linear,"{'kernel': 'linear', 'C': 3, 'gamma': 1}",1,-13.47347288,-12.6383681721,-14.0229093744,-12.5676009068,-13.8730607451,-12.5634329961,-13.2659913156,-12.7533868492,7.37819667195,0.650659071706,0.302946145423,0.0768394579091
25,125.494866788,9.68191200495,-15.63501692,-9.99200722163e-16,3,1,rbf,"{'kernel': 'rbf', 'C': 3, 'gamma': 1}",14,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.639257883,-9.99200722163e-16,3.40675031281,0.0675981360869,0.00244807847814,0.0
26,21.2693440318,4.4246467948,-16.5967873313,-17.2014342134,3,1,sigmoid,"{'kernel': 'sigmoid', 'C': 3, 'gamma': 1}",24,-16.5453408729,-17.3923922065,-16.9574095713,-17.2841580759,-16.6577227196,-17.2841580759,-16.2265423059,-16.8450284955,0.60175264936,0.131456715455,0.261469307786,0.210461674508
