,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,61.5229781568,5.64261221886,-13.8181178806,-1.8611730351,1,0.01,rbf,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",10,-14.2851251073,-1.79830851872,-13.3361186707,-1.88750998664,-13.8356000332,-1.91962455043,-14.5098992076,-1.93389594605,-13.8605726848,-1.8589673606,-13.935495265,-1.87323726937,-13.6108328708,-1.81614953921,-13.1708311743,-1.80169110984,0.680295754181,0.0623784751666,0.419320465258,0.0488190654621
11,37.3699807823,2.99793848395,-16.2315042803,-17.5240324444,1,0.01,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.01}",20,-16.1582352864,-17.6585080367,-15.8585449657,-17.6192595097,-16.1582208324,-17.4016048254,-17.082278322,-17.3801970712,-16.083315597,-17.5800099916,-16.133270729,-17.4872412117,-15.808597928,-17.5336253538,-16.5698152033,-17.5318135552,0.68262034031,0.0668919399191,0.387071260256,0.0918345424875
12,475.764243007,3.85522562265,-13.6495235849,-12.7267369331,1,0.1,linear,"{'kernel': 'linear', 'C': 1, 'gamma': 0.1}",7,-14.1103084517,-12.6845347941,-12.8116554061,-12.8522288554,-13.5359062435,-12.7808714643,-14.5848235223,-12.6417148251,-14.2102059961,-12.6381456132,-13.4609790381,-12.8129761983,-13.4609842415,-12.6595532849,-13.0208712232,-12.7438704296,4.05485298155,0.27061623366,0.568182740196,0.0772830685841
13,112.687531173,5.83618763089,-15.63501692,-9.99200722163e-16,1,0.1,rbf,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.1}",14,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6449160805,-9.99200722163e-16,1.36136846637,0.0927135830124,0.00374017804882,0.0
14,57.4192022681,2.77121347189,-16.8871386447,-17.2136148819,1,0.1,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.1}",26,-16.3830076522,-17.355222418,-17.1072608023,-17.1661131682,-16.5328447183,-17.2481793513,-17.1322322976,-17.1875217485,-16.7076688901,-17.2802922631,-17.2820751453,-17.1340005869,-17.0822846817,-17.1732494442,-16.8697223766,-17.1643400752,6.13208318432,0.0477648252949,0.298921149879,0.0698447792391
15,477.19566083,3.95032936335,-13.6495235849,-12.7267369331,1,1,linear,"{'kernel': 'linear', 'C': 1, 'gamma': 1}",7,-14.1103084517,-12.6845347941,-12.8116554061,-12.8522288554,-13.5359062435,-12.7808714643,-14.5848235223,-12.6417148251,-14.2102059961,-12.6381456132,-13.4609790381,-12.8129761983,-13.4609842415,-12.6595532849,-13.0208712232,-12.7438704296,3.68324741488,0.22899691835,0.568182740196,0.0772830685841
16,110.370372236,5.83239752054,-15.63501692,-9.99200722163e-16,1,1,rbf,"{'kernel': 'rbf', 'C': 1, 'gamma': 1}",14,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6449160805,-9.99200722163e-16,1.47525742868,0.0866308746207,0.00374017804882,0.0
17,33.9646346867,2.7670430541,-16.7341590879,-17.2417174368,1,1,sigmoid,"{'kernel': 'sigmoid', 'C': 1, 'gamma': 1}",25,-16.4079826165,-17.3373819757,-16.8824942181,-17.3052688987,-16.4829005714,-17.2909966771,-17.2571024937,-17.2517475719,-16.6077707674,-17.25531571,-17.0073644142,-17.2767242902,-16.9574110167,-17.3445180039,-16.2699109229,-16.8717863671,6.85752671251,0.0416150284241,0.32033114604,0.143416737692
18,1307.43747643,3.74186909199,-13.6401575604,-12.728520632,3,0.01,linear,"{'kernel': 'linear', 'C': 3, 'gamma': 0.01}",4,-14.0104109072,-12.6809663257,-12.8865791426,-12.8557964978,-13.5608806296,-12.7915754653,-14.5099020984,-12.6060336927,-14.2351798041,-12.6631223315,-13.3610814936,-12.8201126395,-13.5109318574,-12.6524168436,-13.0458648377,-12.7581412596,9.63719105432,0.339485206237,0.532620427385,0.0842427460401
19,193.810029268,5.73220583797,-14.5487031359,-9.99200722163e-16,3,0.01,rbf,"{'kernel': 'rbf', 'C': 3, 'gamma': 0.01}",13,-14.9344793819,-9.99200722163e-16,-14.210237795,-9.99200722163e-16,-14.6597680726,-9.99200722163e-16,-15.0843303238,-9.99200722163e-16,-14.5848472269,-9.99200722163e-16,-14.2851586407,-9.99200722163e-16,-14.5349071271,-9.99200722163e-16,-14.0955688733,-9.99200722163e-16,3.44162276266,0.101263820666,0.32381021404,0.0
20,34.830586493,2.72160261869,-16.3376560274,-17.4308200492,3,0.01,sigmoid,"{'kernel': 'sigmoid', 'C': 3, 'gamma': 0.01}",21,-16.8325361953,-17.3980395785,-15.9084896908,-17.487241129,-16.2331509286,-17.4087436622,-16.8824890147,-17.3730623646,-16.1832154541,-17.5264903168,-16.0333754972,-17.4586971814,-15.9334727493,-17.4372884359,-16.6947769112,-17.3569977255,1.00737125284,0.0486713294578,0.378187057678,0.0542018503005
21,1300.65696299,3.67747324705,-13.6401575604,-12.728520632,3,0.1,linear,"{'kernel': 'linear', 'C': 3, 'gamma': 0.1}",4,-14.0104109072,-12.6809663257,-12.8865791426,-12.8557964978,-13.5608806296,-12.7915754653,-14.5099020984,-12.6060336927,-14.2351798041,-12.6631223315,-13.3610814936,-12.8201126395,-13.5109318574,-12.6524168436,-13.0458648377,-12.7581412596,12.6676711534,0.290331034062,0.532620427385,0.0842427460401
22,221.770458609,5.75313735008,-15.63501692,-9.99200722163e-16,3,0.1,rbf,"{'kernel': 'rbf', 'C': 3, 'gamma': 0.1}",14,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6449160805,-9.99200722163e-16,4.18622396702,0.0740906755477,0.00374017804882,0.0
23,57.1427558959,2.74656134844,-16.9027489746,-17.1841779561,3,0.1,sigmoid,"{'kernel': 'sigmoid', 'C': 3, 'gamma': 0.1}",27,-16.4579290761,-17.3159733128,-17.0573137646,-17.1661132508,-16.6327416846,-17.2196347428,-17.1322311413,-17.1554088368,-16.7825914702,-17.2339070471,-17.2321281076,-17.109023786,-17.2571048063,-17.0983194545,-16.6697832968,-17.1750432183,7.08470917054,0.052205060808,0.28506798217,0.0664806861787
24,1286.49626228,3.72064730525,-13.6401575604,-12.728520632,3,1,linear,"{'kernel': 'linear', 'C': 3, 'gamma': 1}",4,-14.0104109072,-12.6809663257,-12.8865791426,-12.8557964978,-13.5608806296,-12.7915754653,-14.5099020984,-12.6060336927,-14.2351798041,-12.6631223315,-13.3610814936,-12.8201126395,-13.5109318574,-12.6524168436,-13.0458648377,-12.7581412596,12.6138520989,0.340036058306,0.532620427385,0.0842427460401
25,210.681238115,5.74949997663,-15.63501692,-9.99200722163e-16,3,1,rbf,"{'kernel': 'rbf', 'C': 3, 'gamma': 1}",14,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6336037767,-9.99200722163e-16,-15.6449160805,-9.99200722163e-16,3.28073882778,0.0654494273369,0.00374017804882,0.0
26,33.1729449928,2.69806882739,-16.6998158416,-17.1948859987,3,1,sigmoid,"{'kernel': 'sigmoid', 'C': 3, 'gamma': 1}",23,-16.3330617708,-17.2767243728,-17.007363836,-17.25531571,-16.4828982587,-17.2339070471,-16.9823871373,-17.15897714,-16.4829017277,-17.2446114611,-16.9574144857,-17.2339069645,-16.9823830902,-17.2695880142,-16.3698778592,-16.8860572797,6.43037867881,0.111126066188,0.28681156192,0.121507296091
