,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_features,param_max_samples,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,26.0946642756,0.23467746377,-13.7338117343,-0.00356806096926,0.3,0.7,100,"{'max_features': 0.3, 'max_samples': 0.7, 'n_estimators': 100}",18,-13.8605657469,-0.00356813801574,-12.9864657019,-9.99200722163e-16,-13.7856396977,-0.00713619342844,-14.2351705535,-9.99200722163e-16,-14.0104074382,-9.99200722163e-16,-13.8106135057,-0.0107043314442,-13.8605651687,-0.00356813801574,-13.3207674035,-0.00356768685001,1.34403156078,0.0700992833842,0.370420550992,0.00356810704244
11,65.4582176507,0.658104419708,-13.5121409146,-9.99200722163e-16,0.3,0.7,300,"{'max_features': 0.3, 'max_samples': 0.7, 'n_estimators': 300}",4,-13.2611804802,-9.99200722163e-16,-12.8615908806,-9.99200722163e-16,-13.2112305516,-9.99200722163e-16,-14.1852194686,-9.99200722163e-16,-14.2351670845,-9.99200722163e-16,-13.5858370927,-9.99200722163e-16,-13.735689191,-9.99200722163e-16,-13.0208573373,-9.99200722163e-16,3.14375519868,0.2079394397,0.480793907788,0.0
12,2.83481949568,0.0282014906406,-14.6797923526,-0.545906898757,0.3,1.0,10,"{'max_features': 0.3, 'max_samples': 1.0, 'n_estimators': 10}",43,-14.9594283289,-0.499529409838,-14.4349667987,-0.581594271315,-15.0343514872,-0.538777193348,-14.9094789785,-0.574457664872,-14.3850110885,-0.574457995284,-14.7096769517,-0.524505467315,-14.4349702677,-0.545913882394,-14.5703758042,-0.528019305691,0.249090961085,0.00149929120608,0.244012620253,0.0271191615803
13,8.0139657557,0.0635456740856,-14.2083660109,-0.00981217303568,0.3,1.0,30,"{'max_features': 0.3, 'max_samples': 1.0, 'n_estimators': 30}",31,-13.9105208789,-0.0107041662381,-13.9354923742,-0.0142722216508,-14.0853282839,-0.0107041662381,-14.6347711382,-0.0071361108254,-14.3100885084,-0.0142723868569,-14.2851222165,-0.0107041662381,-14.2102117777,-0.0107041662381,-14.2954558809,-9.99200722163e-16,0.079307736987,0.00719738025985,0.219085489837,0.00427796968649
14,34.3710710406,0.28686645627,-13.6401497545,-9.99200722163e-16,0.3,1.0,100,"{'max_features': 0.3, 'max_samples': 1.0, 'n_estimators': 100}",13,-13.8106140838,-9.99200722163e-16,-13.5858463433,-9.99200722163e-16,-13.4360040738,-9.99200722163e-16,-13.885536664,-9.99200722163e-16,-13.7606612645,-9.99200722163e-16,-13.835581532,-9.99200722163e-16,-13.4360075427,-9.99200722163e-16,-13.3707517395,-9.99200722163e-16,0.719662558519,0.0726567643687,0.19391937536,0.0
15,119.402774572,0.827504962683,-13.5777021466,-9.99200722163e-16,0.3,1.0,300,"{'max_features': 0.3, 'max_samples': 1.0, 'n_estimators': 300}",7,-13.785629869,-9.99200722163e-16,-13.3860489418,-9.99200722163e-16,-13.3361001696,-9.99200722163e-16,-14.2101921202,-9.99200722163e-16,-13.9354767638,-9.99200722163e-16,-13.6108097444,-9.99200722163e-16,-13.0613871258,-9.99200722163e-16,-13.2957685818,-9.99200722163e-16,42.1512975349,0.207405989798,0.355946033973,0.0
16,1.17818799615,0.0569410026073,-14.6735455174,-11.7076067711,0.7,0.1,10,"{'max_features': 0.7, 'max_samples': 0.1, 'n_estimators': 10}",42,-14.5598393074,-11.7710958401,-14.8095750743,-11.7425503229,-14.2601403143,-11.6818882595,-15.1841850843,-11.7282771926,-14.5098841754,-11.5677108993,-14.6847071908,-11.7710931142,-14.6847147069,-11.5748518837,-14.6953340406,-11.8233866563,0.0913962768417,0.0101196941473,0.247649672614,0.0873003683321
17,3.27043473721,0.113086491823,-14.2957853476,-10.0609627072,0.7,0.1,30,"{'max_features': 0.7, 'max_samples': 0.1, 'n_estimators': 30}",34,-13.7357030669,-10.2368252392,-14.3600557817,-9.97635669842,-14.1602525986,-10.008460689,-15.2840884104,-9.8764466863,-14.4349754711,-10.0691234132,-14.2351751788,-10.226107939,-14.3850243862,-10.1119330569,-13.7706281635,-9.98244793512,0.0785395999832,0.00618096245787,0.44995597767,0.117787160518
18,10.5246100128,0.365231007338,-13.6994740533,-8.73186359207,0.7,0.1,100,"{'max_features': 0.7, 'max_samples': 0.1, 'n_estimators': 100}",17,-13.9354900615,-8.75963055618,-13.5608794733,-8.61690710063,-13.735685722,-8.55268061634,-14.7096798425,-8.70254043053,-14.3101093222,-8.68113383272,-13.0364266155,-8.7846051268,-13.4609819289,-8.96300921908,-12.8459222864,-8.79440185429,0.150962555888,0.0226359402604,0.580343887443,0.117072039207
19,31.0233549178,1.01496499777,-13.5152716683,-8.27693708109,0.7,0.1,300,"{'max_features': 0.7, 'max_samples': 0.1, 'n_estimators': 300}",5,-13.2861554445,-8.28507365189,-13.1113422578,-8.34929608862,-13.6607689235,-8.09953435741,-14.659733961,-8.33145729841,-14.0603585231,-8.17446269505,-13.1363160657,-8.37784094494,-13.0614010017,-8.30291202908,-13.1458300383,-8.2949195833,0.241255989254,0.131576284278,0.539669022409,0.0876262432605
20,2.66862377524,0.0411475002766,-14.7734548383,-7.02455665946,0.7,0.3,10,"{'max_features': 0.7, 'max_samples': 0.3, 'n_estimators': 10}",45,-14.5348660776,-7.19323795721,-14.185228141,-7.07549270681,-15.2840889885,-7.03624203219,-15.1342449845,-7.16469260527,-14.909480713,-6.91492550486,-14.4099883654,-7.104034259,-14.834555242,-6.80075004454,-14.8952742776,-6.90707816579,0.100315351671,0.00482314562857,0.346971266577,0.128961606988
21,7.59817862511,0.105298340321,-14.1833948603,-3.97879634268,0.7,0.3,30,"{'max_features': 0.7, 'max_samples': 0.3, 'n_estimators': 30}",29,-13.9854417246,-3.93915498282,-13.5359126033,-3.91417677766,-14.3101023842,-3.89276720614,-14.8345616018,-3.97126682071,-14.5348753282,-4.03192359752,-13.735696129,-3.96769736105,-13.9854428809,-4.12112597407,-14.5453879755,-3.99225802146,0.121572716378,0.0121574942856,0.41724085408,0.0676290109691
22,24.5514671803,0.369719982147,-13.921141476,-2.13412514843,0.7,0.3,100,"{'max_features': 0.7, 'max_samples': 0.3, 'n_estimators': 100}",23,-13.7356984416,-2.07661766694,-12.9365279148,-2.01239209129,-14.0853317529,-2.07661733652,-14.5098997858,-2.27286269711,-14.3600517346,-2.13013899375,-13.7107171176,-2.0908903016,-13.8355982987,-2.24431751038,-14.1955051449,-2.16916458987,0.222963591958,0.0651470419754,0.46057849748,0.0836186013773
23,73.1776921749,1.01335963607,-13.6183004676,-1.45129547124,0.7,0.3,300,"{'max_features': 0.7, 'max_samples': 0.3, 'n_estimators': 300}",11,-13.7107171176,-1.51286259885,-12.9864755307,-1.35229994007,-13.7107205865,-1.39511677023,-14.3600511565,-1.49859120322,-14.0104097509,-1.52356841714,-13.6357962719,-1.41652617654,-13.211242693,-1.45220590464,-13.3207755036,-1.45919275926,0.571594127698,0.152950191902,0.414549806042,0.0564347385435
24,5.28343906999,0.0409634411335,-14.53930437,-1.86518388544,0.7,0.7,10,"{'max_features': 0.7, 'max_samples': 0.7, 'n_estimators': 10}",38,-14.3100856175,-1.89464353677,-14.3850278552,-1.74835309964,-14.0603585231,-1.84826030326,-15.5088584635,-1.91248348342,-14.6597397427,-1.91248455726,-14.0353852933,-1.91605277788,-14.9344597244,-1.84825939462,-14.4204337891,-1.8409339307,0.168918866969,0.00477250031516,0.458888040923,0.0533156398677
25,17.8625597954,0.0915659666061,-13.9554873242,-0.21943303361,0.7,0.7,30,"{'max_features': 0.7, 'max_samples': 0.7, 'n_estimators': 30}",25,-13.485956315,-0.214083737777,-13.460989445,-0.203379901951,-13.4360104336,-0.217652288808,-14.7596407561,-0.199812011744,-14.7346675263,-0.185539377079,-13.5359085562,-0.264036761364,-13.960465604,-0.231924427856,-14.270487724,-0.239035762301,2.34189122891,0.00856839596652,0.531984204958,0.0233266155336
26,48.538595885,0.289984375238,-13.6745000117,-0.0071361473581,0.7,0.7,100,"{'max_features': 0.7, 'max_samples': 0.7, 'n_estimators': 100}",16,-13.4859545805,-0.00713619342844,-13.336119827,-0.0035680554127,-13.7107217428,-0.00713619342844,-13.9854428809,-0.0071361108254,-14.1602572239,-9.99200722163e-16,-13.311135034,-0.0107043314442,-13.3361163581,-0.0178406074756,-14.0705388083,-0.00356768685001,0.367489345728,0.0295030539052,0.333046393953,0.00504612715024
27,144.896731526,0.989634603262,-13.5683465299,-9.99200722163e-16,0.7,0.7,300,"{'max_features': 0.7, 'max_samples': 0.7, 'n_estimators': 300}",6,-13.6857438878,-9.99200722163e-16,-13.0364214121,-9.99200722163e-16,-13.6857433096,-9.99200722163e-16,-14.3350773485,-9.99200722163e-16,-13.9354860144,-9.99200722163e-16,-13.2611816365,-9.99200722163e-16,-13.2611914653,-9.99200722163e-16,-13.3457662252,-9.99200722163e-16,0.693658225834,0.205368234456,0.398668349108,0.0
28,6.57257378101,0.0378966033459,-14.6673098852,-0.580695384996,0.7,1.0,10,"{'max_features': 0.7, 'max_samples': 1.0, 'n_estimators': 10}",41,-14.3850220736,-0.570890518092,-14.6847095035,-0.627979156886,-14.4849161491,-0.517369108681,-15.6087606333,-0.592298685362,-14.2851262636,-0.627979239489,-14.6597455243,-0.578026711521,-14.5848229441,-0.578026381109,-14.645360119,-0.55299327883,0.317202372693,0.00362341467159,0.379654026958,0.0344495270871
29,18.9263991714,0.0835929811001,-13.9710981601,-0.0120422132252,0.7,1.0,30,"{'max_features': 0.7, 'max_samples': 1.0, 'n_estimators': 30}",26,-13.8605738411,-0.0178403596665,-13.5109347482,-0.0214084150792,-13.7856449012,-0.0142723042538,-14.8595440821,-0.0107042488411,-14.2851279981,-0.0142723042538,-13.8106296942,-0.00356813801574,-13.5608858331,-0.0107042488411,-14.0955341585,-0.00356768685001,0.135081157229,0.00407646509789,0.411693112968,0.00590019805433
30,62.2203509808,0.271026611328,-13.4309811338,-9.99200722163e-16,0.7,1.0,100,"{'max_features': 0.7, 'max_samples': 1.0, 'n_estimators': 100}",1,-13.3860628177,-9.99200722163e-16,-13.2611931997,-9.99200722163e-16,-13.23621997,-9.99200722163e-16,-14.1352816815,-9.99200722163e-16,-13.9604650258,-9.99200722163e-16,-13.6357991627,-9.99200722163e-16,-13.0614027361,-9.99200722163e-16,-12.7709472288,-9.99200722163e-16,0.44166578139,0.0219036807011,0.427078771914,0.0
31,186.49481976,1.01618897915,-13.5027841415,-9.99200722163e-16,0.7,1.0,300,"{'max_features': 0.7, 'max_samples': 1.0, 'n_estimators': 300}",2,-13.6857490912,-9.99200722163e-16,-13.1862665724,-9.99200722163e-16,-13.4609801944,-9.99200722163e-16,-14.0603596794,-9.99200722163e-16,-13.7107176957,-9.99200722163e-16,-13.7356886129,-9.99200722163e-16,-13.2861664295,-9.99200722163e-16,-12.8959060438,-9.99200722163e-16,1.25668476291,0.153968875535,0.346197751444,0.0
32,1.5514600873,0.0512965321541,-15.0450683204,-11.8356119188,1.0,0.1,10,"{'max_features': 1.0, 'max_samples': 0.1, 'n_estimators': 10}",47,-14.7096700137,-11.8995326184,-15.2591070863,-11.895973732,-15.0343462838,-11.6925917649,-14.7096815769,-11.7782258383,-15.4589021752,-11.8816981236,-15.2341373255,-12.0743811284,-14.7596367089,-11.8424583526,-15.1951739294,-11.6200337919,0.0376619401468,0.00349846725224,0.26971016862,0.13092593667
33,4.08471354842,0.106861799955,-14.2551997473,-10.09574794,1.0,0.1,30,"{'max_features': 1.0, 'max_samples': 0.1, 'n_estimators': 30}",32,-14.1352811033,-10.2261155385,-13.9854475062,-9.98348958772,-14.2102065743,-10.1832971389,-14.3850249644,-10.08696146,-14.3850209173,-10.0227291109,-14.3850238081,-10.0441368652,-13.9354964213,-10.1262062698,-14.6203607188,-10.093047549,0.0580829833722,0.0105844268724,0.21657094639,0.0760511072149
34,13.1089960933,0.313050985336,-13.7400627615,-8.8549589484,1.0,0.1,100,"{'max_features': 1.0, 'max_samples': 0.1, 'n_estimators': 100}",19,-14.0353881841,-8.65615794045,-13.4609807725,-8.72751937911,-13.8106233344,-8.9915539928,-14.2601495649,-8.70967447628,-13.7107246337,-8.88451224781,-13.7856472138,-8.82742501327,-13.5608858331,-8.96657810053,-13.2957813106,-9.07625043695,0.253894942769,0.0156619526441,0.290025879076,0.140796280888
35,38.5243590176,1.01018223166,-13.5902015267,-8.44820461055,1.0,0.1,300,"{'max_features': 1.0, 'max_samples': 0.1, 'n_estimators': 300}",9,-13.8355896263,-8.35286843939,-12.9365198205,-8.45277192587,-13.7107142267,-8.4063871229,-14.3101023842,-8.52413534701,-13.5608806296,-8.53127071441,-13.7356967071,-8.54911016544,-13.5858602192,-8.40638778373,-13.0458550018,-8.36270538566,0.35116865369,0.0267754177933,0.409048121606,0.0731135230249
36,3.78389534354,0.0519725978374,-14.6329637478,-6.98263165561,1.0,0.3,10,"{'max_features': 1.0, 'max_samples': 0.3, 'n_estimators': 10}",40,-14.5098818628,-7.03267554624,-14.0603648829,-7.11473669058,-14.834555242,-6.85784165705,-15.0842938997,-6.82215887264,-15.1841902878,-7.16826198233,-14.3100966026,-7.13258027176,-15.2591192277,-6.74722888294,-13.8206205996,-6.98556934135,0.0777110817972,0.00870368138558,0.505857006522,0.14732892203
37,11.0069477558,0.110255777836,-14.0741267426,-4.00466403902,1.0,0.3,30,"{'max_features': 1.0, 'max_samples': 0.3, 'n_estimators': 30}",28,-13.8605686377,-3.95342703927,-13.5359212757,-3.94628737651,-13.8855499617,-3.87136102135,-14.6347618876,-3.97483239803,-14.6597449461,-3.98910618914,-14.3350779267,-4.19248609109,-14.0104253613,-4.05333234301,-13.6706722202,-4.05647985373,0.158551629789,0.0114459772468,0.397337896749,0.0903225737288
38,38.2743771374,0.354887723923,-13.7556746093,-2.22778647032,1.0,0.3,100,"{'max_features': 1.0, 'max_samples': 0.3, 'n_estimators': 100}",20,-13.5359085562,-2.29070231335,-13.1862723541,-2.17295532829,-13.236213032,-2.07661774954,-14.8595325189,-2.23718197777,-14.5099009421,-2.2907037176,-13.6357962719,-2.31924700446,-13.6358107259,-2.20506824001,-13.4457383687,-2.22981543151,0.490961979293,0.023384592929,0.565096905818,0.0731000676513
39,102.961653769,0.910208463669,-13.6245459295,-1.64173882987,1.0,0.3,300,"{'max_features': 1.0, 'max_samples': 0.3, 'n_estimators': 300}",12,-13.6358014753,-1.67342690968,-13.1113474612,-1.60563327862,-13.6607741269,-1.56995264189,-14.3350733014,-1.63417788713,-14.2851291544,-1.694836316,-13.4360006048,-1.63417821754,-13.286171633,-1.66272241303,-13.2457958174,-1.65898297508,1.93349189175,0.158416861582,0.432949353604,0.0373033964128
40,7.17963790894,0.0388662219048,-14.6236017708,-1.89016012323,1.0,0.7,10,"{'max_features': 1.0, 'max_samples': 0.7, 'n_estimators': 10}",39,-14.9594346886,-1.92318831048,-14.4849138364,-1.85896438689,-14.5848165843,-1.8982121704,-14.5348672339,-1.81971412529,-15.0843054629,-1.91248364862,-14.5348695466,-1.9338920637,-14.4599579515,-1.93746077994,-14.3454477385,-1.8373655005,0.147229869817,0.00577699799948,0.241260390761,0.0426130202019
41,20.9609925747,0.07849791646,-14.0304189896,-0.221217370284,1.0,0.7,30,"{'max_features': 1.0, 'max_samples': 0.7, 'n_estimators': 30}",27,-14.0603671955,-0.235492318062,-13.6607747051,-0.185539624888,-13.9105220352,-0.228356868061,-14.584829882,-0.214084481204,-14.9094876509,-0.221220179015,-13.6607735488,-0.246196649507,-13.9854579131,-0.206947957364,-13.4707342975,-0.231900884168,0.233922087807,0.00429854931712,0.458785641861,0.0177490992664
42,69.3414057493,0.262120604515,-13.8087506996,-0.00758199542185,1.0,0.7,100,"{'max_features': 1.0, 'max_samples': 0.7, 'n_estimators': 100}",22,-13.7856466357,-0.0071361108254,-13.535907978,-0.00713619342844,-13.8855453364,-0.0107044140472,-14.6097990647,-0.0035680554127,-14.1352932447,-9.99200722163e-16,-13.5608731135,-0.00713619342844,-13.6358095696,-0.0107041662381,-13.320777818,-0.0142708299945,0.327678079,0.0146082820673,0.380556317953,0.00415981696563
43,209.652513713,0.909848362207,-13.6401551753,-0.000892034503935,1.0,0.7,300,"{'max_features': 1.0, 'max_samples': 0.7, 'n_estimators': 300}",14,-13.4859586276,-9.99200722163e-16,-13.1612962335,-0.00356813801574,-13.810618131,-9.99200722163e-16,-13.9854399901,-0.00356813801574,-14.2101996363,-9.99200722163e-16,-13.7606606863,-9.99200722163e-16,-13.1612939208,-9.99200722163e-16,-13.5457058836,-9.99200722163e-16,0.988041762586,0.172450172435,0.349847246592,0.00154504908292
44,9.42144629359,0.0377008318901,-14.4768605205,-0.586938857628,1.0,1.0,10,"{'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 10}",37,-13.9604546189,-0.631547129696,-14.5598369948,-0.524505549918,-14.0603596794,-0.560185938839,-14.6597432116,-0.603002768998,-15.0842962123,-0.567322297474,-14.1102980448,-0.620842963458,-14.6597362737,-0.585162822346,-14.7203351766,-0.602941390297,0.653702375432,0.00370311755049,0.366845205943,0.0328920904973
45,26.9408102632,0.0818663537502,-14.1927603789,-0.016056198518,1.0,1.0,30,"{'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 30}",30,-14.3101099003,-0.0142722216508,-13.6607695017,-0.0178402770635,-14.0104120635,-0.0142723042538,-14.9344643497,-0.0142723042538,-14.9594265944,-0.0178403596665,-13.9604557752,-0.0142723042538,-13.7107333061,-0.0285444433016,-13.9955689579,-0.00713537370001,0.233580891668,0.00381448361599,0.473454317755,0.00564173012214
46,89.3325004578,0.25764799118,-13.67138075,-9.99200722163e-16,1.0,1.0,100,"{'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 100}",15,-13.760677453,-9.99200722163e-16,-13.2611926216,-9.99200722163e-16,-13.3860610832,-9.99200722163e-16,-14.7096919839,-9.99200722163e-16,-13.8106204436,-9.99200722163e-16,-13.1113439923,-9.99200722163e-16,-13.5608875676,-9.99200722163e-16,-13.770642628,-9.99200722163e-16,0.424295664702,0.0185179531148,0.459750199681,0.0
47,269.264908463,0.756648153067,-13.5059102695,-9.99200722163e-16,1.0,1.0,300,"{'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 300}",3,-13.6607752833,-9.99200722163e-16,-12.8116606095,-9.99200722163e-16,-13.4859597839,-9.99200722163e-16,-13.9854428809,-9.99200722163e-16,-13.9604638695,-9.99200722163e-16,-13.4110302658,-9.99200722163e-16,-13.5359091343,-9.99200722163e-16,-13.19581611,-9.99200722163e-16,1.77002239513,0.0810864275349,0.362115331264,0.0
