,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
72,143.66922465,0.803205877542,-13.6620086543,-9.99200722163e-16,entropy,,,1,2,250,"{'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",98,-13.6357956937,-9.99200722163e-16,-12.7866868016,-9.99200722163e-16,-13.3610820718,-9.99200722163e-16,-14.3600465312,-9.99200722163e-16,-13.6857433096,-9.99200722163e-16,-13.9105162536,-9.99200722163e-16,-13.8106192873,-9.99200722163e-16,-13.7456397562,-9.99200722163e-16,1.06568094267,0.14639153446,0.423705756582,0.0
73,170.52672863,0.928947091103,-13.5152718851,-9.99200722163e-16,entropy,,,1,2,300,"{'min_samples_leaf': 1, 'n_estimators': 300, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",27,-13.3860535671,-9.99200722163e-16,-12.7117636432,-9.99200722163e-16,-13.2362136102,-9.99200722163e-16,-14.2851251073,-9.99200722163e-16,-13.8355873136,-9.99200722163e-16,-13.7356955508,-9.99200722163e-16,-13.5359033527,-9.99200722163e-16,-13.3957465112,-9.99200722163e-16,1.13488225158,0.120266220483,0.432853332082,0.0
74,199.098443002,1.05023834109,-13.6120554394,-9.99200722163e-16,entropy,,,1,2,350,"{'min_samples_leaf': 1, 'n_estimators': 350, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",85,-13.411027375,-9.99200722163e-16,-12.8116617658,-9.99200722163e-16,-13.3610855407,-9.99200722163e-16,-14.3100989153,-9.99200722163e-16,-14.035380668,-9.99200722163e-16,-13.8355896263,-9.99200722163e-16,-13.7107234773,-9.99200722163e-16,-13.4207378113,-9.99200722163e-16,1.70481835076,0.229231919917,0.434009249847,0.0
75,136.883170515,0.780007362366,-13.5464940628,-9.99200722163e-16,entropy,,,1,10,250,"{'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",47,-13.2362118757,-9.99200722163e-16,-12.9615005664,-9.99200722163e-16,-13.6108288237,-9.99200722163e-16,-14.459941763,-9.99200722163e-16,-14.0603596794,-9.99200722163e-16,-13.2112403804,-9.99200722163e-16,-13.5858538594,-9.99200722163e-16,-13.2457981317,-9.99200722163e-16,1.51694547892,0.25430299422,0.467109545159,0.0
76,166.044299394,0.91301509738,-13.6058115676,-9.99200722163e-16,entropy,,,1,10,300,"{'min_samples_leaf': 1, 'n_estimators': 300, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",81,-13.0613934856,-9.99200722163e-16,-12.8616018656,-9.99200722163e-16,-13.7356990198,-9.99200722163e-16,-14.3850180265,-9.99200722163e-16,-14.3600482656,-9.99200722163e-16,-13.4360052301,-9.99200722163e-16,-13.6108253547,-9.99200722163e-16,-13.3957494041,-9.99200722163e-16,1.07019986041,0.12030430301,0.514330923984,0.0
77,191.369412124,1.10163670778,-13.5371252918,-9.99200722163e-16,entropy,,,1,10,350,"{'min_samples_leaf': 1, 'n_estimators': 350, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",40,-12.8865733609,-9.99200722163e-16,-12.6618090894,-9.99200722163e-16,-13.5858527031,-9.99200722163e-16,-14.2101979018,-9.99200722163e-16,-14.2601507212,-9.99200722163e-16,-13.73569266,-9.99200722163e-16,-13.5608760043,-9.99200722163e-16,-13.3957476683,-9.99200722163e-16,2.01257831125,0.157445148547,0.527699105209,0.0
78,122.860400677,0.7570925951,-13.5059039814,-0.0280986198209,entropy,,,1,30,250,"{'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",24,-13.6357991627,-0.0214086628883,-12.6118574264,-0.0214087454914,-13.4360086991,-0.0178406074756,-14.3100994934,-0.0356812149513,-14.0104074382,-0.0249768835071,-13.28615371,-0.0463856289985,-13.5858457652,-0.0321129943325,-13.1708178669,-0.0249742209226,1.74856108366,0.104417136228,0.485976422565,0.0088195062359
79,147.784866899,0.856930732727,-13.4902933623,-0.0272066520381,entropy,,,1,30,300,"{'min_samples_leaf': 1, 'n_estimators': 300, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",16,-13.5359021964,-0.0285449389198,-12.7617048994,-0.0249768835071,-13.5109307011,-0.0142724694599,-14.1602520204,-0.0356812149513,-13.8106106149,-0.0285449389198,-13.3111275179,-0.0463856289985,-13.5858469215,-0.0178406074756,-13.2457952388,-0.0214065340726,1.37909551404,0.126983232188,0.385011222704,0.00959728153698
80,172.153721035,1.00649297237,-13.474683466,-0.0245306049231,entropy,,,1,30,350,"{'min_samples_leaf': 1, 'n_estimators': 350, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",6,-13.4360052301,-0.0285449389198,-12.786677551,-0.0214088280944,-13.5109295448,-0.0178405248726,-14.1602531768,-0.0285449389198,-13.810614662,-0.0285449389198,-13.261179902,-0.0321131595386,-13.6108218858,-0.0214087454914,-13.2208022029,-0.0178387646281,1.35839326247,0.212510947109,0.385300433908,0.00518253269773
81,116.51319322,0.750260025263,-13.4465822123,-0.665438646033,entropy,,,1,50,250,"{'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': None, 'max_depth': None}",2,-13.2611839492,-0.613710074151,-12.7367282006,-0.667231235754,-13.161287561,-0.652958683691,-14.3600407495,-0.645823481499,-13.910507003,-0.70291286372,-13.8106094585,-0.652959674927,-13.2362101412,-0.7064800105,-13.0958370235,-0.681433144022,1.02641256212,0.229532184347,0.496131842556,0.0289823695135
