,league,season,historical_training_year,features,ll,acc,prec_A,prec_D,prec_H,rec_A,rec_D,rec_H,f1_A,f1_D,f1_H,bet_all,bet_lte_19,bet_lte_4,bet_btw_19_4,bet_btw_19_5,bet_btw_15_4,bet_btw_15_5
58,E2,2014,8,best_features_MLP,1.06454194832,0.428899082569,0.375,0.0,0.455479452055,0.369863013699,0.0,0.747191011236,0.372413793103,0.0,0.565957446809,-0.106880733945,-0.0367361111111,-0.11,-0.143541666667,-0.13852233677,-0.112554216867,-0.109282296651
59,E2,2014,9,best_features_MLP,1.06792109209,0.438073394495,0.396946564885,0.0,0.457236842105,0.356164383562,0.0,0.780898876404,0.375451263538,0.0,0.576763485477,-0.081376146789,-0.0367361111111,-0.0843187066975,-0.104930555556,-0.100309278351,-0.0857590361446,-0.0826794258373
60,E2,2015,4,best_features_MLP,1.05512990744,0.459584295612,0.40243902439,0.0,0.472934472934,0.239130434783,0.0,0.869109947644,0.3,0.0,0.612546125461,0.0116166281755,-0.0220535714286,-0.0145390070922,-0.0018954248366,0.0012101910828,-0.0127184466019,-0.0101904761905
61,E2,2015,5,best_features_MLP,1.06373658659,0.454965357968,0.4375,0.0,0.456359102244,0.101449275362,0.0,0.958115183246,0.164705882353,0.0,0.618243243243,-0.00357967667436,-0.006875,-0.0247044917258,-0.0215032679739,-0.00711111111111,-0.0207785888078,-0.01
62,E2,2015,6,best_features_MLP,1.06169213775,0.429561200924,0.343949044586,0.0,0.478260869565,0.391304347826,0.0,0.69109947644,0.366101694915,0.0,0.565310492505,-0.0921709006928,-0.0324786324786,-0.0837062937063,-0.0944951140065,-0.103258064516,-0.0801435406699,-0.0866983372922
63,E2,2015,7,best_features_MLP,1.06381476273,0.431870669746,0.344370860927,0.5,0.478260869565,0.376811594203,0.0288461538462,0.69109947644,0.359861591696,0.0545454545455,0.565310492505,-0.0773441108545,-0.0324786324786,-0.0687412587413,-0.0735830618893,-0.0825483870968,-0.0647846889952,-0.0714489311164
64,E2,2015,8,best_features_MLP,1.0529721063,0.443418013857,0.369369369369,0.0,0.468944099379,0.297101449275,0.0,0.79057591623,0.329317269076,0.0,0.588693957115,-0.0574826789838,-0.0397457627119,-0.0486946386946,-0.0428104575163,-0.0521035598706,-0.0442105263158,-0.0510213776722
65,E2,2015,9,best_features_MLP,1.05985931748,0.448036951501,0.374301675978,0.0,0.501976284585,0.485507246377,0.0,0.664921465969,0.422712933754,0.0,0.572072072072,-0.0361200923788,-0.0331623931624,-0.0271328671329,-0.0151791530945,-0.0247096774194,-0.0220813397129,-0.0290498812352
66,E2,2016,4,best_features_MLP,1.05343474014,0.458333333333,0.348314606742,0.0,0.486880466472,0.256198347107,0.0,0.835,0.295238095238,0.0,0.615101289134,-0.0393287037037,0.07046875,-0.0257981220657,-0.0544863013699,-0.0672635135135,-0.0263,-0.0359405940594
67,E2,2016,5,best_features_MLP,1.04366022669,0.467592592593,0.396825396825,0.285714285714,0.506849315068,0.413223140496,0.036036036036,0.74,0.404858299595,0.064,0.60162601626,-0.0094212962963,0.100873015873,-0.0187089201878,-0.059593220339,-0.0567892976589,-0.01875,-0.0170792079208
68,E2,2016,6,best_features_MLP,1.04306257092,0.479166666667,0.425531914894,0.0,0.494082840237,0.330578512397,0.0,0.835,0.372093023256,0.0,0.620817843866,0.00516203703704,0.0818461538462,0.0145560747664,-0.00106164383562,-0.00785714285714,0.0166666666667,0.0116336633663
69,E2,2016,7,best_features_MLP,1.0518726684,0.462962962963,0.366459627329,0.0,0.520295202952,0.487603305785,0.0,0.705,0.418439716312,0.0,0.59872611465,-0.0316898148148,0.1,-0.0242688679245,-0.0669727891156,-0.0671906354515,-0.0237343358396,-0.0244306930693
70,E2,2016,8,best_features_MLP,1.04595465415,0.467592592593,0.379562043796,1.0,0.506802721088,0.429752066116,0.00900900900901,0.745,0.403100775194,0.0178571428571,0.603238866397,-0.02125,0.085,-0.0182629107981,-0.0531058020478,-0.0503703703704,-0.018275,-0.0166089108911
71,E2,2016,9,best_features_MLP,1.04335298971,0.469907407407,0.380597014925,0.0,0.510067114094,0.421487603306,0.0,0.76,0.4,0.0,0.610441767068,-0.018287037037,0.09875,-0.0276995305164,-0.0728327645051,-0.0666891891892,-0.028325,-0.0241439205955
72,F1,2014,4,best_features_MLP,1.04607731557,0.47,0.511111111111,0.117647058824,0.487394957983,0.261363636364,0.0289855072464,0.811188811189,0.345864661654,0.046511627907,0.608923884514,-0.0561666666667,0.0497894736842,-0.0209824561404,-0.0565053763441,-0.0788717948718,-0.0361885245902,-0.0541501976285
73,F1,2014,5,best_features_MLP,1.04117265593,0.483333333333,0.454545454545,0.0,0.490909090909,0.113636363636,0.0,0.944055944056,0.181818181818,0.0,0.645933014354,0.0252333333333,0.0423655913978,0.00301075268817,-0.0109289617486,-0.00381443298969,-0.005,0.000239043824701
74,F1,2014,6,best_features_MLP,1.03273086008,0.496666666667,0.489361702128,0.25,0.502008032129,0.261363636364,0.0144927536232,0.874125874126,0.340740740741,0.027397260274,0.637755102041,0.0466333333333,0.058125,0.0223591549296,0.00527173913043,0.0059375,0.0144032921811,0.0146215139442
75,F1,2014,7,best_features_MLP,1.02873421215,0.49,0.450980392157,0.0,0.497991967871,0.261363636364,0.0,0.867132867133,0.330935251799,0.0,0.632653061224,-0.0130333333333,0.0516326530612,-0.00410526315789,-0.0329508196721,-0.0144270833333,-0.0103734439834,0.00304
76,F1,2014,8,best_features_MLP,1.04376966785,0.466666666667,0.375,0.0,0.471830985915,0.0681818181818,0.0,0.937062937063,0.115384615385,0.0,0.627634660422,-0.0272333333333,0.0312765957447,-0.02975,-0.0503804347826,-0.0410769230769,-0.0390416666667,-0.0323107569721
77,F1,2014,9,best_features_MLP,1.03527465352,0.483333333333,0.447368421053,0.0,0.492307692308,0.193181818182,0.0,0.895104895105,0.269841269841,0.0,0.63523573201,-0.0105,0.0472164948454,-0.0182517482517,-0.0518918918919,-0.04390625,-0.0289754098361,-0.0235059760956
78,F1,2015,4,best_features_MLP,1.06938818102,0.426666666667,0.0,0.0,0.426666666667,0.0,0.0,1.0,0.0,0.0,0.598130841121,-0.1039,-0.100319148936,-0.100647482014,-0.101373626374,-0.0669473684211,-0.11991902834,-0.0936862745098
79,F1,2015,5,best_features_MLP,1.05283949213,0.47,0.489795918367,0.5,0.465863453815,0.275862068966,0.0117647058824,0.90625,0.352941176471,0.0229885057471,0.615384615385,-0.0374,-0.0553333333333,-0.0522068965517,-0.0504371584699,-0.0439267015707,-0.0743824701195,-0.0688416988417
80,F1,2015,6,best_features_MLP,1.05125710607,0.466666666667,0.453333333333,0.375,0.47465437788,0.390804597701,0.0352941176471,0.8046875,0.41975308642,0.0645161290323,0.597101449275,-0.026,-0.0700970873786,-0.0195155709343,0.00913043478261,0.013125,-0.03668,-0.0322868217054
